time;host;consumer_group;cpu;dbtime;iowait;oth_wait;pxqry;pxqtime;pxrel;read;reqs;write;yields;error
2018-11-02 00:00:00;1;adw_unload_group;0.17345597897503287;0.26747720364741645;0.04455869751499572;0.04227941176470588;0.010638297872340429;0.0;0.012691869610023323;0.6021098228687835;0.017631878146938337;0.07509681089241046;0.006518628163889543;0.006691447053530455
2018-11-02 03:00:00;1;adw_unload_group;0.03153745072273325;0.030395136778115506;0.003427592116538132;0.009191176470588236;0.003546099290780142;0.0;0.0030373705049628465;0.027474649561905047;0.003537203804298785;0.001349153679543184;0.0005589613669710763;5.5163093318052565e-05
2018-11-02 06:00:00;1;adw_unload_group;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0018588366930753825;0.0;0.0;0.00019645601857965847
2018-11-02 09:00:00;1;adw_unload_group;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004168847340780712;0.0;5.175568212695152e-06;0.000193309585907278
2018-11-02 12:00:00;1;adw_unload_group;0.14980289093298296;0.196048632218845;0.19880034275921168;0.047794117647058834;0.0010131712259371837;0.0;0.0033628030590660087;0.03722860453316571;0.00896933821804335;0.7228473706088694;0.007584795215704744;0.011094303351857439
2018-11-02 15:00:00;1;adw_unload_group;0.03153745072273325;0.025835866261398176;0.006855184233076264;0.005514705882352942;0.0075987841945288764;0.0;0.006834083636166405;0.07386651924664328;0.007507534605042321;0.0043282308584263775;0.0007970375047550532;0.0001757800252169039
2018-11-02 18:00:00;1;adw_unload_group;0.04007884362680683;0.02963525835866261;0.006855184233076264;0.01011029411764706;0.006585612968591692;0.0;0.005966263491891307;0.08741830684064246;0.008400859035209617;0.005947215273878197;0.0009121938974875203;0.0002699072498889423
2018-11-02 21:00:00;1;adw_unload_group;0.03153745072273325;0.02127659574468085;0.006855184233076264;0.0036764705882352954;0.009625126646403243;0.0;0.00737647122633834;0.07494187763633195;0.01008824962552562;0.007289076230829256;0.0005848392080345519;0.00017796921595924673
2018-11-03 00:00:00;1;adw_unload_group;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007796285936005486;0.0;2.587784106347576e-06;0.00019033759217361204
2018-11-03 03:00:00;1;adw_unload_group;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.008193319016079842;0.0;0.0;0.00019016003301936026
2018-11-03 06:00:00;1;adw_unload_group;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011080832325711505;0.0;0.0;0.0001897090056205719
2018-11-03 09:00:00;1;adw_unload_group;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01008824962552562;0.0;0.0;0.0001896932648885747
2018-11-03 12:00:00;1;adw_unload_group;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010539423580155569;0.0;0.0;0.00018967822133682784
2018-11-03 15:00:00;1;adw_unload_group;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010774034036563138;0.0;0.0;0.00018968493979447412
2018-11-03 18:00:00;1;adw_unload_group;0.015768725361366625;0.01709726443768997;0.0077120822622107985;0.005514705882352942;0.0;0.0;0.0;0.035615566948632695;0.010913897962498422;0.05169172932330828;0.00014103423379594287;0.0001774711068097923
2018-11-03 21:00:00;1;adw_unload_group;0.06833114323258871;0.1975683890577508;0.18851756640959727;0.018382352941176468;0.0025329280648429585;0.0;0.0036339968541519775;0.09952366167104634;0.01308404468426847;0.10701341131684693;0.0016535940439561007;0.004018964236832758
2018-11-04 00:00:00;1;adw_unload_group;0.4967148488830486;0.5927051671732523;0.31191088260496996;0.15808823529411764;0.015704154002026342;0.022556390977443608;0.02787872213483756;0.5348317669955849;0.02856833480716825;0.4384968240193112;0.0548610230545686;0.007992173344216744
2018-11-04 03:00:00;1;adw_unload_group;0.09198423127463863;0.13525835866261401;0.027420736932305057;0.05147058823529412;0.009118541033434652;0.0;0.015620762596951781;0.04867889949942823;0.01914782263449496;0.053236874922514825;0.0013145943260245685;0.00110127845650709
2018-11-04 06:00:00;1;adw_unload_group;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013363772536139035;0.0;1.2938920531737877e-06;0.0001904230842563667
2018-11-04 15:00:00;1;adw_unload_group;0.019710906701708282;0.012537993920972646;0.002570694087403599;0.0;0.1265197568389058;0.0;0.10641644519173403;0.00995085157782338;0.048207937052209854;0.004670988820256268;0.0002523089503688886;0.0022539499339912883
2018-11-04 18:00:00;1;adw_unload_group;0.233245729303548;0.1717325227963526;0.022279348757497857;0.029411764705882356;0.12626646403242148;0.0;0.10506047621630417;0.17395815189815894;0.04705293172835719;0.2028315818644575;0.01390675178751187;0.0041830040416570005
2018-11-04 21:00:00;1;adw_unload_group;0.4362680683311433;0.25683890577507595;0.010282776349614395;0.005514705882352942;0.0015197568389057753;0.0;0.005206920865650594;0.10385538701542607;0.006514951904856437;0.007887079483383533;0.01625645975607547;0.005240271214978648
2018-11-05 00:00:00;1;adw_unload_group;0.09461235216819974;0.07750759878419453;0.01713796058269066;0.0275735294117647;0.016717325227963528;0.0;0.018441178065845845;0.5830259979250126;0.029633105340094924;0.08907331374021864;0.0032657835422106396;0.006231245483423743
2018-11-05 03:00:00;1;adw_unload_group;0.0;0.0015197568389057753;0.0;0.0018382352941176477;0.0;0.0;0.0;0.0;0.012434354189601343;0.0;0.0;0.00018443360128298566
2018-11-05 06:00:00;1;adw_unload_group;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.012271931565934565;0.0;0.0;0.0001899640536048588
