time;host;sys_actsess_max;sys_cpu;sys_iowait;sys_oswait;sys_pga;sys_pxqct;sys_pxruns;sys_pxsrvt;sys_read;sys_redo;sys_rmwait;sys_syspct;sys_write
2018-11-10 05:00:00;1;293.32110450105;46.24066475648801;13.430314442198053;1.6266732099237091;28748.188854147676;9.145255149092993;-2.174547005014948;161.0203639620733;2895.457750959021;53.35409467191357;1.1383578671769372;12.036131204276575;410.96390161748485
2018-11-10 06:00:00;1;293.44486215378424;46.25147866126661;13.437477877896093;1.627460707358752;28781.42696752121;9.152447050360857;-1.687536640856425;161.149948715159;2896.4211049700584;53.36575237738435;1.1386289435907893;12.041468154141153;411.11392362806896
2018-11-10 07:00:00;1;293.5686198065184;46.26229256604522;13.444641313594135;1.6282482047937947;28814.665080894745;9.159638951628724;-1.2005262766978848;161.27953346824475;2897.384458981096;53.377410082855114;1.1389000200046413;12.046805104005731;411.263945638653
2018-11-10 08:00:00;1;293.6923774592526;46.273106470823826;13.451804749292176;1.6290357022288375;28847.903194268278;9.166830852896588;-0.7135159125393278;161.40911822133046;2898.347812992133;53.38906778832589;1.1391710964184933;12.052142053870309;411.4139676492371
2018-11-10 09:00:00;1;293.81613511198685;46.28392037560243;13.458968184990216;1.6298231996638803;28881.141307641814;9.174022754164453;-0.2265055483807878;161.53870297441617;2899.311167003171;53.40072549379666;1.1394421728323454;12.057479003734887;411.56398965982123
2018-11-10 10:00:00;1;293.93989276472104;46.294734280381036;13.466131620688255;1.6306106970989231;28914.37942101535;9.181214655432319;0.2605048157777351;161.66828772750188;2900.274521014209;53.412383199267424;1.1397132492461974;12.062815953599465;411.71401167040534
2018-11-10 11:00:00;1;294.0636504174552;46.30554818515964;13.473295056386297;1.631398194533966;28947.617534388883;9.188406556700183;0.7475151799362751;161.79787248058759;2901.237875025246;53.4240409047382;1.1399843256600495;12.068152903464043;411.8640336809894
2018-11-10 12:00:00;1;294.1874080701894;46.316362089938245;13.480458492084338;1.6321856919690088;28980.855647762415;9.195598457968048;1.234525544094815;161.9274572336733;2902.2012290362836;53.435698610208966;1.1402554020739015;12.073489853328619;412.01405569157356
2018-11-10 13:00:00;1;294.31116572292365;46.327175994716846;13.487621927782378;1.6329731894040516;29014.09376113595;9.202790359235912;1.7215359082533552;162.05704198675903;2903.1645830473212;53.44735631567974;1.1405264784877536;12.078826803193198;412.1640777021576
2018-11-10 14:00:00;1;294.43492337565783;46.337989899495454;13.49478536348042;1.6337606868390944;29047.331874509484;9.209982260503779;2.208546272411878;162.18662673984474;2904.127937058359;53.45901402115051;1.1407975549016056;12.084163753057776;412.3140997127418
2018-11-10 15:00:00;1;294.558681028392;46.348803804274056;13.501948799178459;1.6345481842741374;29080.569987883016;9.217174161771643;2.695556636570418;162.31621149293045;2905.0912910693964;53.47067172662128;1.1410686313154579;12.089500702922354;412.46412172332583
2018-11-10 16:00:00;1;294.6824386811262;46.359617709052664;13.5091122348765;1.6353356817091802;29113.808101256553;9.224366063039508;3.182567000728958;162.44579624601616;2906.0546450804336;53.48232943209205;1.14133970772931;12.094837652786932;412.6141437339099
2018-11-10 17:00:00;1;294.80619633386044;46.370431613831265;13.51627567057454;1.636123179144223;29147.046214630085;9.231557964307374;3.669577364887498;162.57538099910187;2907.0179990914717;53.493987137562826;1.141610784143162;12.10017460265151;412.76416574449405
2018-11-10 18:00:00;1;294.9299539865946;46.38124551860987;13.523439106272582;1.6369106765792656;29180.28432800362;9.23874986557524;4.156587729046021;162.70496575218758;2907.981353102509;53.505644843033586;1.141881860557014;12.105511552516088;412.9141877550781
2018-11-10 19:00:00;1;295.05371163932887;46.39205942338848;13.530602541970623;1.6376981740143086;29213.522441377158;9.245941766843105;4.643598093204561;162.83455050527328;2908.9447071135464;53.517302548504354;1.142152936970866;12.110848502380666;413.06420976566227
2018-11-10 20:00:00;1;295.17746929206305;46.40287332816708;13.537765977668665;1.6384856714493514;29246.76055475069;9.25313366811097;5.130608457363101;162.96413525835902;2909.9080611245845;53.52896025397513;1.142424013384718;12.116185452245242;413.2142317762463
2018-11-10 21:00:00;1;295.3012269447973;46.41368723294569;13.544929413366702;1.6392731688843942;29279.998668124226;9.260325569378836;5.617618821521641;163.09372001144473;2910.8714151356216;53.540617959445896;1.1426950897985702;12.12152240210982;413.36425378683043
2018-11-10 22:00:00;1;295.4249845975315;46.42450113772429;13.552092849064744;1.640060666319437;29313.23678149776;9.2675174706467;6.104629185680164;163.22330476453044;2911.8347691466593;53.55227566491667;1.1429661662124222;12.126859351974398;413.51427579741454
2018-11-10 23:00:00;1;295.54874225026566;46.4353150425029;13.559256284762785;1.6408481637544798;29346.47489487129;9.274709371914565;6.591639549838704;163.35288951761615;2912.7981231576964;53.56393337038744;1.1432372426262742;12.132196301838976;413.66429780799865
2018-11-11 00:00:00;1;295.67249990299985;46.4461289472815;13.566419720460827;1.6416356611895226;29379.713008244828;9.281901273182429;7.078649913997244;163.48247427070186;2913.7614771687345;53.57559107585821;1.1435083190401263;12.137533251703555;413.8143198185827
2018-11-11 01:00:00;1;295.7962575557341;46.45694285206011;13.573583156158866;1.6424231586245657;29412.951121618364;9.289093174450294;7.565660278155784;163.6120590237876;2914.7248311797716;53.58724878132898;1.1437793954539783;12.142870201568133;413.9643418291668
2018-11-11 02:00:00;1;295.92001520846827;46.46775675683871;13.580746591856906;1.6432106560596085;29446.189234991893;9.29628507571816;8.052670642314308;163.7416437768733;2915.6881851908092;53.598906486799756;1.1440504718678304;12.148207151432711;414.1143638397509
2018-11-11 03:00:00;1;296.04377286120246;46.478570661617326;13.587910027554948;1.643998153494651;29479.427348365432;9.303476976986024;8.539681006472865;163.871228529959;2916.6515392018473;53.61056419227052;1.1443215482816826;12.153544101297289;414.26438585033503
