HOST, TIME, SNAP_ID, SYS_CPU, SYS_DBTIME, SYS_SYSPCT, SYS_READ, SYS_WRITE, SYS_REDO, SYS_OSWAIT, SYS_RMWAIT, SYS_ACTSESS_MAX, SYS_ACTSESS_AVG, SYS_PGA, SYS_PXRUNS, SYS_PXQCT, SYS_PXSRVT, SYS_UCALLS, SYS_IOWAIT
1, 13/01/2019 23:59:30, 130211, 36.4, 35.2, 8.3, 2104, 476.9, 25.9, 0.6, 0.9, 154.5, 90, 50630.2, 148.7, 6.4, 157.8, 94.7, 8.1
1, 14/01/2019 00:19:29, 130212, 40.5, 68.2, 9.6, 10287.1, 482.2, 34.7, 0.8, 22.4, 318.5, 174.5, 39188.3, 78.9, 14.5, 262.7, 99.6, 12
1, 14/01/2019 00:39:30, 130213, 39.4, 76.4, 8.6, 9526.7, 493.1, 39.7, 0.7, 36.6, 241.9, 195.5, 25623, 56.1, 21, 291.6, 111.4, 4.4
1, 14/01/2019 00:59:30, 130214, 53.3, 77.7, 13, 6689.6, 266, 41.3, 0.9, 17.4, 243.5, 198.8, 44933.9, 696.5, 20.1, 293.8, 114.7, 10.8
1, 14/01/2019 01:19:29, 130215, 42.3, 60.5, 11.4, 2443.5, 146.2, 26.2, 0.9, 9.8, 193.7, 154.8, 39095.2, 520.7, 16.4, 263.5, 93.1, 14.8
1, 14/01/2019 01:39:30, 130216, 37.8, 45.3, 11, 1790.4, 151.9, 21.2, 0.9, 0.2, 164.1, 115.9, 17103.2, 609.6, 12.6, 208.1, 86.1, 11
1, 14/01/2019 01:59:29, 130217, 27.2, 32.5, 7.4, 748.6, 213.1, 31.9, 0.6, 0.1, 131, 83.2, 11302.8, 674.5, 10.4, 157.4, 103.4, 4.7
1, 14/01/2019 02:19:30, 130218, 36.3, 40.7, 8.2, 5773, 109.9, 20.6, 0.6, 3.6, 174.2, 104.1, 23772.4, 417.3, 12.7, 190.1, 66.8, 4.7
1, 14/01/2019 02:39:29, 130219, 78.9, 99.1, 14.8, 6302.1, 184.7, 22.5, 4.4, 11.3, 307.2, 253.7, 26244.2, 145.7, 20.5, 405.1, 70.3, 14
1, 14/01/2019 03:00:29, 130220, 60.7, 104.7, 11.6, 5327.8, 154.8, 22.1, 3.9, 22.6, 374, 267.9, 39014.8, 70.5, 17.9, 376.1, 63.3, 11.9
1, 14/01/2019 03:19:29, 130221, 30.7, 47, 8.2, 2360.1, 234.9, 30.3, 0.7, 0, 186.1, 120.2, 29417, 106, 11, 169.8, 95.2, 14.1
1, 14/01/2019 03:39:29, 130222, 31.6, 44.8, 9.2, 2259, 259.6, 37.7, 0.8, 0.1, 182.2, 114.7, 21950.9, 88, 8, 138.1, 110.9, 14.5
1, 14/01/2019 03:59:29, 130223, 30, 54.3, 8, 602.6, 409.9, 34.2, 0.7, 0, 218.6, 139, 48521.2, 34, 6.7, 135.6, 76, 7.1
1, 14/01/2019 04:19:29, 130224, 26.3, 28.3, 7.3, 223.8, 439.3, 31.7, 0.6, 0, 92.4, 72.4, 44337.1, 49.9, 4.5, 91.5, 79.9, 6.5
1, 14/01/2019 04:39:29, 130225, 17.4, 28.9, 5.9, 103.6, 162.4, 32.6, 0.6, 0, 148.8, 74, 10774.5, 38.1, 4, 77.9, 80.8, 9.2
1, 14/01/2019 04:59:28, 130226, 25.6, 47.5, 7.1, 3799.2, 152.1, 20.4, 0.6, 0, 149.6, 121.6, 14911.7, 122.6, 6.9, 142.7, 66.1, 20.9
1, 14/01/2019 05:19:28, 130227, 24.8, 45.3, 7.2, 365.8, 197.1, 30.8, 0.6, 0, 166.2, 115.9, 10390.1, 38.1, 4.6, 75.9, 76.6, 6.6
1, 14/01/2019 05:39:29, 130228, 15.7, 22.8, 4.9, 63.5, 142.4, 30, 0.5, 0, 168.5, 58.4, 11089, 46, 3.1, 40.9, 81.1, 4.7
1, 14/01/2019 05:59:29, 130229, 45.8, 69.9, 11.6, 1975.4, 334.9, 45.7, 0.9, 0, 245.8, 178.9, 25448.3, 81.5, 5.1, 157.6, 89, 7.9
1, 14/01/2019 06:20:29, 130230, 38, 65.1, 9.4, 540.6, 349.2, 40.5, 0.7, 0, 295.9, 166.6, 13330.6, 29.1, 5.1, 115.9, 90.3, 5.8
1, 14/01/2019 06:40:28, 130231, 28.1, 33, 7.3, 167.6, 316, 36.7, 0.6, 0, 115, 84.5, 13242.3, 27.4, 3, 66.1, 94.4, 5.9
1, 14/01/2019 06:59:28, 130232, 36, 50.3, 9.4, 140.4, 321.2, 45.5, 0.8, 0, 248.2, 128.7, 33748.7, 25, 3.1, 66.1, 113.3, 6.6
1, 14/01/2019 07:19:28, 130233, 44.5, 83.3, 11.2, 1237, 279.7, 43.5, 0.8, 0, 358.9, 213.4, 42405.8, 35.9, 6.1, 134.2, 100.2, 6.6
1, 14/01/2019 07:39:29, 130234, 46.3, 74.7, 12.2, 534.7, 286, 52.5, 0.9, 0, 245, 191.3, 40095.6, 35.2, 5.2, 117.7, 114.7, 6.6
