HOST, SNAP_ID, TIME, SYS_CPU, SYS_DBTIME, SYS_SYSPCT, SYS_READ, SYS_WRITE, SYS_REDO, SYS_OSWAIT, SYS_RMWAIT, SYS_ACTSESS_MAX, SYS_ACTSESS_AVG, SYS_PGA, SYS_PXRUNS, SYS_PXQCT, SYS_PXSRVT, SYS_UCALLS, SYS_IOWAIT
1, 126939, 25/11/2018 23:59:40, 36.3, 37.7, 11.6, 833.2, 519.2, 21.2, 0.9, 0, 136.6, 96.4, 22685.2, 200.5, 6.4, 167, 65.3, 16.7
1, 126940, 26/11/2018 00:19:40, 35.7, 44.9, 9.1, 3340.5, 578.7, 27.2, 0.7, 7.9, 255.5, 115, 29680, 213.3, 10, 183.8, 95.3, 7.9
1, 126941, 26/11/2018 00:39:40, 44.7, 80.1, 10.8, 10260.1, 535.8, 22, 0.8, 27.4, 273.9, 204.9, 28204.5, 209.4, 17.9, 253.5, 82.5, 10.2
1, 126942, 26/11/2018 00:59:40, 56.1, 98.5, 12, 5195.3, 499.8, 36.3, 1.6, 15.5, 359.1, 252.2, 22352.8, 797.8, 18.3, 260.3, 86.6, 8.9
1, 126943, 26/11/2018 01:19:40, 47.2, 68.3, 11.1, 1155.9, 529.7, 43.8, 0.8, 1.4, 237, 174.8, 21594.8, 599.3, 12.2, 151.3, 87.9, 9.9
1, 126944, 26/11/2018 01:39:40, 62, 81.6, 14.2, 2150.1, 497, 35.7, 1, 1.5, 283.5, 208.9, 26397.6, 705.7, 14.7, 232.8, 84.3, 11.4
1, 126945, 26/11/2018 01:59:40, 46.7, 73.8, 12, 1038.1, 518.1, 34.1, 0.9, 0.1, 342.7, 189, 26351.9, 783.9, 10.8, 189, 88, 19.3
1, 126946, 26/11/2018 02:19:40, 55.9, 68, 12.8, 5406, 576.6, 30.2, 1, 0, 251.9, 174.1, 39109.8, 879.7, 12, 198.1, 89, 15.5
1, 126947, 26/11/2018 02:39:39, 92.1, 90.7, 18.4, 5061.3, 446.3, 32.7, 4.7, 0.8, 262.6, 232.1, 62221, 198.2, 16.1, 308, 110.8, 9.9
1, 126948, 26/11/2018 02:59:40, 81.2, 106.4, 16, 4541.2, 430.8, 30.3, 5.6, 0.6, 389.9, 272.3, 52319.3, 214.2, 17.5, 354.5, 83, 11.7
1, 126949, 26/11/2018 03:19:40, 48.7, 59.5, 11.8, 1757.1, 659.4, 36.6, 0.9, 0, 244.4, 152.3, 24727.6, 191.1, 14, 358.4, 98.5, 11
1, 126950, 26/11/2018 03:39:39, 38.1, 37.9, 9.7, 1151.8, 671.6, 43.7, 0.8, 0.1, 188.4, 97, 31349.8, 245.9, 6.2, 105.6, 108.9, 5.3
1, 126951, 26/11/2018 03:59:40, 41.2, 54.6, 9.4, 620.1, 706, 43.8, 0.8, 0, 244.9, 139.7, 61340.4, 195.4, 5.4, 108.4, 99.8, 5.3
1, 126952, 26/11/2018 04:19:39, 44.2, 44.8, 9.4, 157.7, 944.6, 44.9, 0.7, 0, 222.7, 114.6, 61130.3, 194, 3.7, 52.5, 102, 2.9
1, 126953, 26/11/2018 04:39:40, 31.1, 64.6, 7.1, 76.6, 651.4, 37.3, 0.6, 0, 242.2, 165.4, 62126.4, 166.4, 3, 49.1, 95.3, 34.3
1, 126954, 26/11/2018 04:59:39, 21, 55.7, 5.8, 26.9, 358.7, 34.4, 0.6, 0, 220.9, 142.7, 62119.3, 161.9, 3.1, 49.1, 102.4, 34.1
1, 126955, 26/11/2018 05:19:39, 43.7, 57.1, 10.9, 887.8, 614.1, 46.5, 0.9, 0.3, 323.4, 146.3, 24774.7, 283.1, 4.7, 103.1, 115.7, 14.3
1, 126956, 26/11/2018 05:39:39, 30, 48.1, 7, 578.4, 609.9, 34.1, 0.6, 0, 215.6, 123.3, 20693.1, 173.1, 4.1, 80.6, 95.2, 10.1
1, 126957, 26/11/2018 05:59:39, 47.7, 56.8, 11.7, 1886.7, 686.3, 49.3, 0.9, 0, 290.2, 145.4, 29138, 214, 5.1, 137.1, 119.3, 5.7
1, 126958, 26/11/2018 06:19:39, 51.5, 61.4, 12.4, 669.7, 698.5, 57.3, 1, 0, 201.8, 157.3, 19701.2, 184.2, 5.5, 100.8, 126.1, 4.5
1, 126959, 26/11/2018 06:39:39, 38.6, 48.8, 11.2, 137.5, 477.9, 60, 1, 0, 201.5, 125, 21525.4, 141.6, 3, 41.2, 146.5, 4.9
1, 126960, 26/11/2018 06:59:39, 38, 48.5, 11.3, 130, 315.2, 57.4, 0.9, 0, 248.6, 124.2, 20077.4, 144.4, 2.7, 19.7, 166.8, 5.6
1, 126961, 26/11/2018 07:20:39, 45.3, 78.6, 12.4, 1802.9, 338.1, 53.6, 1, 0.6, 314.1, 201.3, 16293.9, 241.1, 6.3, 108.1, 139.2, 5.1
1, 126962, 26/11/2018 07:39:38, 51.9, 70.8, 14.4, 637.9, 400.3, 67.6, 1.1, 0, 308.2, 181.2, 12421.2, 170.1, 4.6, 64.2, 155.5, 5.7
1, 126963, 26/11/2018 07:59:39, 45.7, 69.5, 12.6, 16226.7, 379, 62.6, 1, 0, 308.3, 177.9, 12927.8, 159.1, 5.7, 66.9, 155.9, 12.2
1, 126964, 26/11/2018 08:19:38, 53.5, 68.5, 14.5, 6130, 396.9, 72.9, 1.7, 0.5, 305.8, 175.3, 22395, 195.4, 7.6, 138.8, 155.5, 7.5
