HOST, TIME, SYS_CPU, SYS_DBTIME, SYS_SYSPCT, SYS_READ, SYS_WRITE, SYS_REDO, SYS_OSWAIT, SYS_RMWAIT, SYS_ACTSESS_MAX, SYS_ACTSESS_AVG, SYS_PGA, SYS_PXRUNS, SYS_PXQCT, SYS_PXSRVT, SYS_UCALLS, SYS_IOWAIT
1, 07/12/2018 23:59:39, 48.1, 50.2, 14, 1513.3, 348.5, 70.4, 1.1, 0.1, 157.3, 128.6, 13385.5, 225.3, 6, 105.1, 184.8, 13.2
1, 08/12/2018 00:19:38, 40.1, 66.3, 11.8, 1711.5, 235.2, 53.9, 1, 5.3, 290.1, 169.8, 15026.4, 212.8, 10.5, 129, 147.1, 18
1, 08/12/2018 00:39:39, 50.6, 93.7, 14.1, 7428.3, 258.3, 42.3, 1.1, 11.7, 336, 239.8, 18381.3, 292.4, 22.6, 240.1, 127.9, 15.6
1, 08/12/2018 01:00:38, 59.2, 84.8, 16.6, 1529.2, 294.2, 52.1, 1.2, 1.9, 338.7, 217.2, 18475.3, 878.5, 20.2, 206.4, 176.5, 20
1, 08/12/2018 01:19:38, 53.1, 68.3, 15.6, 1330.6, 303.2, 48.4, 1.2, 0.1, 251.1, 174.7, 12985.8, 504, 18, 174.9, 165.5, 19
1, 08/12/2018 01:39:38, 38.8, 47.4, 11.7, 981.5, 244.8, 49.2, 1, 0.1, 188, 121.2, 12809.3, 756.7, 14.8, 135.7, 163.9, 16.3
1, 08/12/2018 01:59:38, 40.1, 47.6, 11.9, 1175.7, 339.7, 52.8, 0.9, 0.1, 193.2, 121.8, 14270.2, 731.4, 12.4, 140.5, 140.4, 16.7
1, 08/12/2018 02:19:38, 46.4, 43.5, 12.5, 1842.5, 249, 37.3, 1, 0.9, 147, 111.2, 17960.8, 605.5, 10.7, 142.2, 137.7, 4.9
1, 08/12/2018 02:39:38, 32.1, 36.4, 8.3, 2143.9, 200, 26.8, 0.7, 0.1, 123.9, 93.2, 16962.9, 234.9, 9, 119.5, 121, 1.6
1, 08/12/2018 02:59:38, 16.2, 22.6, 5.9, 261.5, 185.9, 16.7, 0.6, 0, 82.6, 57.8, 12903.6, 166.6, 7.6, 94, 119.3, 6.6
1, 08/12/2018 03:19:38, 23.5, 31.6, 7.5, 461.6, 203.9, 21.7, 0.7, 0.3, 129.6, 81, 20301.3, 222.3, 6.4, 66, 122.9, 13.7
1, 08/12/2018 03:39:38, 26.8, 27.4, 9.5, 266, 239.3, 28.2, 0.9, 0, 114.9, 70.1, 13291.1, 195.6, 4.8, 42.3, 182.5, 3.6
1, 08/12/2018 03:59:38, 34.6, 34.9, 9.8, 982.9, 296.7, 25.7, 0.8, 0, 109.1, 89.4, 42693.9, 180.1, 6.4, 89.8, 161.8, 6.2
1, 08/12/2018 04:20:37, 28.4, 30.8, 6.7, 945.6, 489.8, 18.9, 0.6, 1.3, 164, 78.8, 45438.1, 232, 4.9, 71.1, 68.6, 2.7
1, 08/12/2018 04:39:38, 25.3, 28.2, 6, 951.9, 496.7, 17.3, 0.5, 0, 148.2, 72.2, 40526.3, 206.9, 4.3, 55.2, 55.3, 4.1
1, 08/12/2018 04:59:37, 19.3, 23.2, 5.4, 1955.2, 240.9, 19.2, 0.5, 0.1, 147.2, 59.4, 38715.9, 275.5, 3.6, 41.6, 63.7, 4
1, 08/12/2018 05:19:38, 20.3, 28.5, 6.1, 947.7, 151, 25, 0.5, 0.5, 121.2, 73.1, 51126.7, 242.3, 2.9, 35.2, 74, 3.9
1, 08/12/2018 05:39:38, 19.6, 27.8, 5.9, 486.5, 175.9, 26, 0.6, 0, 147.9, 71.3, 11457.1, 188.1, 2.3, 23.9, 72, 3.5
1, 08/12/2018 05:59:37, 33.7, 43.6, 9, 1468.1, 248.3, 30.2, 0.7, 0, 158.6, 111.5, 12752.6, 215.6, 3.7, 83.5, 74.9, 7.2
1, 08/12/2018 06:19:38, 17.1, 21.1, 5.5, 191.9, 165.6, 22.2, 0.5, 0, 88.7, 54.1, 10278.2, 156.1, 2, 17.5, 78.9, 5
1, 08/12/2018 06:39:38, 18.9, 27, 5.8, 1237.4, 148, 23.2, 0.6, 0.1, 146.9, 69.2, 10282.2, 235, 2.5, 29.1, 80.6, 4.2
1, 08/12/2018 06:59:37, 32.8, 47.3, 9.2, 619.2, 236.2, 40.7, 0.8, 0.4, 202.7, 121, 11794.5, 221.8, 3.2, 47.1, 95.9, 6.1
1, 08/12/2018 07:19:37, 33.5, 45.3, 9.9, 279.4, 295.7, 48.1, 0.8, 0, 165.8, 115.9, 11447, 166.9, 3, 35, 102.1, 7.5
1, 08/12/2018 07:39:37, 48.9, 52.8, 14.3, 1464.6, 350.5, 50.5, 1.1, 0, 275.8, 135.2, 16661.6, 164.1, 4.2, 67.2, 123.6, 9.2
1, 08/12/2018 07:59:37, 37.5, 52.5, 10.1, 16729.5, 292.8, 39.1, 0.8, 0, 231.5, 134.3, 15401.1, 185.9, 4.7, 90.2, 121.4, 14.3
1, 08/12/2018 08:19:37, 35.9, 63.8, 9.6, 7331.6, 194.1, 28.9, 0.8, 0, 268.8, 163.3, 13018.2, 191.9, 4.6, 117.5, 92.7, 11.2
1, 08/12/2018 08:39:37, 29.3, 51.9, 8.9, 353.9, 210.4, 36.8, 0.8, 0, 209.2, 132.9, 11746.7, 180.1, 3.9, 76.7, 104, 13.5
1, 08/12/2018 08:59:37, 33.2, 53.5, 9.5, 1380.6, 276.2, 53.3, 0.8, 0, 217.1, 136.9, 18837.2, 223.2, 4.4, 58.3, 108.2, 14.2
1, 08/12/2018 09:19:37, 39.6, 52.5, 10.5, 932, 285.5, 45.5, 0.9, 0, 179.6, 134.5, 14749.5, 173.9, 5.9, 91.5, 102.9, 12.9
1, 08/12/2018 09:39:37, 31.8, 44.7, 10.1, 1180.6, 247.2, 46.3, 0.9, 0, 191, 114.5, 16136.1, 206.5, 4.1, 62.7, 109, 14.1
1, 08/12/2018 09:59:36, 26.7, 43.5, 8.9, 313.3, 235.2, 44.8, 0.8, 0, 192.5, 111.4, 12292.8, 158.8, 3.9, 61.1, 105.6, 13
1, 08/12/2018 10:19:36, 27.2, 45.3, 8.3, 580.1, 235.5, 46.2, 0.8, 0.2, 310.5, 115.9, 14807.4, 165.7, 3.5, 66.8, 104.6, 14.4
1, 08/12/2018 10:39:36, 26.8, 48.8, 8.1, 434.6, 219.2, 41.5, 0.8, 0, 281, 124.9, 11714.1, 167.3, 2.9, 62.3, 114.7, 14.2
