HOST, TIME, SYS_CPU, SYS_DBTIME, SYS_SYSPCT, SYS_READ, SYS_WRITE, SYS_REDO, SYS_OSWAIT, SYS_RMWAIT, SYS_ACTSESS_MAX, SYS_ACTSESS_AVG, SYS_PGA, SYS_PXRUNS, SYS_PXQCT, SYS_PXSRVT, SYS_UCALLS, SYS_IOWAIT
1, 08/12/2018 23:59:34, 26.3, 21.1, 5.4, 1427.4, 577.8, 28.2, 0.5, 0.2, 93.4, 54.1, 21464.9, 453.3, 5, 76.5, 61.7, 2.6
1, 09/12/2018 00:19:34, 21.1, 22.6, 4.7, 166.6, 587.7, 25.2, 0.4, 0, 96.1, 57.8, 21627, 267.9, 4.9, 66.7, 75.6, 5.7
1, 09/12/2018 00:39:34, 28.3, 29.8, 6.1, 1043.1, 624.7, 31.9, 0.5, 0, 136.2, 76.2, 26267.8, 391.9, 4.6, 94.3, 84.7, 2.2
1, 09/12/2018 00:59:33, 41.9, 55.7, 10.2, 3660.1, 542, 33.6, 0.8, 0, 196.8, 142.7, 24513.4, 925.6, 11.1, 216.6, 80.8, 10
1, 09/12/2018 01:19:34, 25.4, 21.4, 5.8, 2506.7, 614.4, 25.1, 0.5, 0, 83.8, 54.8, 25613.8, 748.9, 8.7, 161.2, 47.8, 3.9
1, 09/12/2018 01:39:33, 15.4, 12.9, 3, 653.2, 604.1, 15.9, 0.3, 0, 64.6, 32.9, 21059, 865.7, 6.8, 106.1, 2.2, 1.8
1, 09/12/2018 02:00:33, 19.6, 20.7, 3.7, 911.7, 599.2, 14.1, 0.3, 0, 79, 52.9, 25507.5, 875, 5.8, 88.3, 11.4, 2.4
1, 09/12/2018 02:19:33, 27.6, 24.8, 4.7, 5226.5, 534.8, 8.4, 0.4, 0, 125.6, 63.5, 49235.3, 622.2, 8.8, 126.1, 7.8, 2.1
1, 09/12/2018 02:40:32, 50.8, 46, 7.4, 6208.4, 416.7, 4.9, 0.6, 0.1, 153, 117.6, 64576.3, 376.1, 15.3, 247.1, 2.2, 2.7
1, 09/12/2018 02:59:33, 38.4, 103.8, 5.5, 3335.5, 437, 2.8, 0.4, 0.6, 484.6, 265.7, 45353.7, 433.1, 16, 288, 4, 2.6
1, 09/12/2018 03:20:33, 17.2, 40, 4, 2406.1, 431.1, 4.6, 0.4, 0, 265.4, 102.5, 48183.8, 329.9, 15.9, 211.9, 14.1, 19.2
1, 09/12/2018 03:39:33, 29.3, 44.9, 6.2, 1933.4, 535.5, 13.4, 0.5, 0.4, 188.6, 114.9, 33893.6, 427.3, 9.6, 139.6, 33.3, 13.4
1, 09/12/2018 03:59:33, 22.1, 22.2, 4.5, 478.2, 666.8, 8.2, 0.4, 0, 84.1, 56.7, 58074.8, 362.5, 6.4, 77.2, 33, 3.2
1, 09/12/2018 04:19:33, 26.6, 18.5, 5, 130.5, 882.7, 8.7, 0.4, 0, 76.8, 47.3, 56200.1, 256.4, 3.7, 34.9, 40.8, 3.3
1, 09/12/2018 04:39:32, 26.9, 32.2, 5.7, 1640.7, 751.5, 21.4, 0.5, 0.5, 214.9, 82.3, 60845.8, 397.5, 4, 55.5, 51.5, 4
1, 09/12/2018 04:59:33, 19.8, 31.1, 4.8, 191.5, 569.8, 13.3, 0.5, 0, 160.2, 79.6, 57007.2, 334.3, 2.5, 26.9, 42.2, 3.3
1, 09/12/2018 05:20:32, 28.7, 27.5, 6.7, 540.9, 546.4, 24.5, 0.6, 0, 123.8, 70.5, 28490.2, 268, 2.9, 45.3, 58.3, 4.2
1, 09/12/2018 05:39:32, 25.6, 21.9, 5.7, 1060.2, 624.2, 18.3, 0.5, 0, 96.5, 56.1, 27565, 355.6, 4.2, 71.7, 48, 3
1, 09/12/2018 05:59:33, 41.8, 52.4, 9.7, 670.7, 675.3, 36, 0.8, 0, 181.6, 134, 37231.2, 345.5, 4.1, 110.7, 60.3, 8.3
1, 09/12/2018 06:20:33, 40.4, 39.4, 8.8, 1414, 701, 46.4, 0.7, 2.9, 199.2, 100.9, 31088.9, 329.7, 4.2, 78.3, 57, 4.8
