HOST, SNAP_ID, TIME, SYS_CPU, SYS_DBTIME, SYS_SYSPCT, SYS_READ, SYS_WRITE, SYS_REDO, SYS_OSWAIT, SYS_RMWAIT, SYS_ACTSESS_MAX, SYS_ACTSESS_AVG, SYS_PGA, SYS_PXRUNS, SYS_PXQCT, SYS_PXSRVT, SYS_UCALLS, SYS_IOWAIT
1, 127515, 03/12/2018 23:59:59, 34.7, 50.2, 9.1, 1255.1, 244.8, 50.3, 0.7, 0.2, 183.5, 128.5, 37272.1, 230.7, 4.6, 90.5, 154.6, 8.9
1, 127516, 04/12/2018 00:19:59, 29.2, 60.9, 6.9, 17261.6, 210.9, 40.7, 0.5, 8, 240.9, 156, 29833.3, 187.9, 8.8, 117.6, 89.2, 19.5
1, 127517, 04/12/2018 00:39:59, 33.1, 54.6, 8.7, 8545, 166.2, 35.2, 0.7, 3.6, 210.8, 139.8, 14837.3, 244.6, 21.3, 215.2, 90.8, 9.6
1, 127518, 04/12/2018 00:59:59, 39.1, 78.2, 9.8, 2546.8, 228.7, 39.6, 0.8, 1.5, 372, 200.2, 19488.4, 941.3, 20.7, 241.9, 88.5, 17.3
1, 127519, 04/12/2018 01:19:59, 30, 84, 7.6, 1016.7, 189.8, 33.5, 0.6, 1.6, 364.2, 215.1, 23859.7, 471.1, 16.4, 180.5, 62, 11.9
1, 127520, 04/12/2018 01:39:59, 20.7, 53.5, 6, 538.9, 220.8, 30, 0.5, 0.1, 247.2, 137, 24041.3, 527, 11.3, 116.5, 55.5, 13.2
1, 127521, 04/12/2018 01:59:59, 31.2, 56, 7.3, 1802.8, 169.9, 28.8, 0.6, 0.8, 246.8, 143.3, 22352.3, 604.7, 11.3, 126.1, 40, 12.2
1, 127522, 04/12/2018 02:19:58, 38.7, 54.8, 8.3, 6183.6, 144.1, 25.7, 0.7, 0.3, 222.1, 140.3, 36398.4, 672.8, 14.2, 192.2, 44.4, 11.4
1, 127523, 04/12/2018 02:39:59, 53, 75.9, 9.3, 6670.3, 122.8, 11.2, 0.7, 0.1, 263.9, 194.3, 40798.3, 797, 17.4, 270.7, 37, 12.9
1, 127524, 04/12/2018 02:59:58, 41.4, 107.9, 7, 3198.5, 100.7, 11.2, 0.6, 0.9, 512.3, 276.3, 13566.5, 492.8, 15.3, 223.2, 35.6, 11.6
