HOST, SNAP_ID, TIME, SYS_CPU, SYS_DBTIME, SYS_SYSPCT, SYS_READ, SYS_WRITE, SYS_REDO, SYS_OSWAIT, SYS_RMWAIT, SYS_ACTSESS_MAX, SYS_ACTSESS_AVG, SYS_PGA, SYS_PXRUNS, SYS_PXQCT, SYS_PXSRVT, SYS_UCALLS, SYS_IOWAIT
1, 126219, 15/11/2018 23:59:31, 29.5, 56.2, 9.6, 690.2, 140.8, 26.5, 0.7, 0, 198.8, 143.9, 34220.5, 299.4, 6.8, 249.8, 58.4, 31.8
1, 126220, 16/11/2018 00:19:32, 29.9, 68, 9.5, 748.4, 138.8, 30.5, 0.8, 0, 249.3, 174, 15557, 289.5, 6, 205.4, 74.2, 37.6
1, 126221, 16/11/2018 00:39:32, 33.4, 61.9, 9.8, 894.8, 226.9, 44.5, 0.8, 0, 240.5, 158.4, 15284.3, 326.8, 6, 204.4, 98.6, 24.5
1, 126222, 16/11/2018 01:00:31, 49.6, 91.7, 14, 4882.1, 242.8, 44.9, 1, 0, 351.8, 234.7, 16162.8, 918.3, 12, 302.4, 82.8, 28.2
1, 126223, 16/11/2018 01:19:32, 29.8, 52.7, 9, 857.2, 286.6, 45.1, 0.8, 0, 237, 134.8, 27582.8, 570.8, 7, 187.6, 69.9, 18.7
1, 126224, 16/11/2018 01:39:31, 25.2, 44.5, 6.6, 440.6, 118, 17.1, 0.6, 0, 191, 113.8, 53686, 725.3, 5.3, 162.2, 41.8, 13.7
1, 126225, 16/11/2018 01:59:31, 23.1, 55.7, 5.2, 508.7, 78.4, 14.3, 0.5, 0, 283.3, 142.5, 14007.9, 756.5, 5.6, 160.8, 35.3, 12.6
1, 126226, 16/11/2018 02:20:31, 34.1, 50.5, 7.5, 5277.3, 134.9, 15.3, 0.6, 0, 238.8, 129.3, 36280.3, 893.8, 9.1, 213.5, 47.9, 14.2
1, 126227, 16/11/2018 02:39:31, 64.4, 87.6, 10.9, 5818.4, 159.8, 13.2, 0.7, 0.2, 284.2, 224.2, 62756.9, 587.3, 15.6, 354, 42, 14.2
1, 126228, 16/11/2018 02:59:31, 56, 81.7, 10.9, 4010.8, 199.2, 23.9, 0.8, 0.3, 273.7, 209.2, 40997.8, 313.4, 16.6, 383.3, 45.7, 24.8
1, 126229, 16/11/2018 03:19:31, 28.1, 50.3, 7.1, 770, 200.8, 23.5, 0.6, 0, 297.5, 128.9, 42327.8, 277.4, 13.4, 397.3, 31.2, 22.1
1, 126230, 16/11/2018 03:39:31, 29.9, 56, 6.7, 1700.8, 407.1, 23.8, 0.5, 0, 279.9, 143.5, 47635.5, 510.5, 8.8, 236.9, 30.2, 10.7
1, 126231, 16/11/2018 03:59:31, 31.4, 43.8, 7.3, 393.1, 245, 27.7, 0.6, 0, 148.1, 112.1, 42979.1, 323.2, 5.1, 151.2, 54.1, 9.9
1, 126232, 16/11/2018 04:19:31, 39.3, 61.4, 8, 899.7, 436.6, 29.4, 0.7, 0, 270.6, 157.2, 42781.1, 247.4, 4.1, 118.5, 55.3, 11.2
1, 126233, 16/11/2018 04:39:31, 33.4, 46.2, 7.3, 485.8, 485.4, 31.1, 0.6, 0, 191.3, 118.2, 40088.2, 311.3, 4, 116, 39.4, 10.7
1, 126234, 16/11/2018 04:59:30, 24.5, 61.5, 5, 430.2, 341.8, 18.7, 0.4, 0, 288, 157.6, 39889, 341.7, 3.1, 112.1, 31.2, 23.8
1, 126235, 16/11/2018 05:19:31, 27.3, 47.5, 6.5, 417.5, 194.6, 27.9, 0.6, 0, 188.1, 121.5, 39711.7, 260.1, 3.2, 106.3, 41.1, 13.6
1, 126236, 16/11/2018 05:39:31, 25.1, 63.4, 6.3, 507.1, 147.7, 22.4, 0.6, 0, 288.3, 162.3, 13470.3, 287.6, 3.3, 113, 54.1, 17.8
1, 126237, 16/11/2018 05:59:30, 49.5, 82.3, 12.2, 982.5, 273.5, 42.3, 0.9, 0, 333.9, 210.6, 14375.7, 317.9, 4.1, 168, 88, 18.9
1, 126238, 16/11/2018 06:19:30, 47.6, 67.1, 12.1, 595.4, 366.7, 47.1, 1, 0, 213.2, 171.9, 16845.3, 232.2, 4.4, 129.1, 108.8, 15.8
1, 126239, 16/11/2018 06:39:31, 45.6, 68.4, 12, 583.3, 276.2, 47.2, 1, 0, 244, 175.2, 13354.8, 292.4, 3.1, 110.5, 110.9, 18
1, 126240, 16/11/2018 06:59:30, 44, 63.9, 11.8, 660.2, 264.7, 47.8, 0.9, 0, 224.9, 163.5, 13245.7, 308, 3.1, 112.8, 122.2, 20
1, 126241, 16/11/2018 07:19:30, 43.3, 86.4, 11.7, 746.8, 269.9, 49, 0.9, 0, 391.6, 221.1, 15523.2, 238.2, 3.8, 120.6, 106.7, 16.4
1, 126242, 16/11/2018 07:40:30, 58.8, 82, 16.8, 655.5, 332, 59, 1.3, 0, 277.7, 209.9, 13538.6, 307.7, 3.2, 112.2, 147.7, 21.7
1, 126243, 16/11/2018 07:59:29, 60.6, 90.1, 16.9, 395.5, 360.1, 62.6, 1.3, 0, 337.5, 230.6, 57885.9, 371.2, 4.2, 103.4, 160, 25
1, 126244, 16/11/2018 08:19:30, 75.6, 108.5, 20.6, 936.1, 357.5, 67, 2.2, 0, 346.5, 277.9, 13996.2, 303.5, 6.6, 174.5, 155.1, 23
1, 126245, 16/11/2018 08:39:30, 74.5, 110.1, 20.8, 16419.9, 328, 65.7, 2.2, 0, 364.2, 282, 16416.3, 300.4, 5.5, 141.3, 145.8, 28.4
1, 126246, 16/11/2018 08:59:30, 58.3, 91.6, 16.1, 241.8, 347.8, 65.4, 1.2, 0, 347.6, 234.5, 22242.7, 335.1, 5, 118.8, 137.7, 21.7
1, 126247, 16/11/2018 09:19:29, 59.6, 81.6, 16.9, 947.7, 406.7, 72.4, 1.3, 0, 294.6, 208.9, 13065.2, 264.6, 3.1, 73.8, 169.1, 22
1, 126248, 16/11/2018 09:39:30, 56.3, 66.4, 16, 170.4, 402.5, 73.4, 1.2, 0, 180.2, 170, 12298.3, 310.4, 2.2, 47.5, 160.6, 21.4
1, 126249, 16/11/2018 09:59:29, 62.8, 85.3, 15.4, 1514.8, 336.6, 65, 1.2, 0, 351.1, 218.4, 21299.4, 379.6, 4.2, 102.6, 137.6, 14.5
1, 126250, 16/11/2018 10:19:29, 50.2, 91.7, 13.1, 5661.7, 274.2, 56.2, 1, 0, 368.3, 234.7, 25468.2, 261.3, 3.2, 86.4, 141.4, 15.1
