HOST, SNAP_ID, TIME, SYS_CPU, SYS_DBTIME, SYS_SYSPCT, SYS_READ, SYS_WRITE, SYS_REDO, SYS_OSWAIT, SYS_RMWAIT, SYS_ACTSESS_MAX, SYS_ACTSESS_AVG, SYS_PGA, SYS_PXRUNS, SYS_PXQCT, SYS_PXSRVT, SYS_UCALLS, SYS_IOWAIT
1, 127659, 05/12/2018 23:59:49, 25, 49.2, 6.2, 704.9, 285.2, 51.3, 0.6, 0, 228.7, 125.9, 15554.1, 232.6, 5.5, 94.1, 84.7, 5.4
1, 127660, 06/12/2018 00:19:49, 34.8, 57.5, 8.6, 1441.1, 270.5, 53.5, 1.4, 8.4, 320.5, 147.1, 33783.3, 362.4, 11.1, 148.8, 97.4, 14.9
1, 127661, 06/12/2018 00:39:49, 69.5, 119.8, 14.5, 4315.2, 281.7, 41.6, 2.8, 19, 361.5, 306.8, 37279.5, 259, 27.8, 410.9, 81.1, 14.1
1, 127662, 06/12/2018 00:59:48, 75.5, 131.6, 16.3, 4520.6, 351.4, 38.9, 3.4, 3.4, 417.4, 336.8, 28381.1, 895.9, 26.9, 466.7, 72.5, 20.2
1, 127663, 06/12/2018 01:19:48, 58.6, 102.6, 14, 2711.3, 284.3, 47, 1.4, 6.4, 354.2, 262.5, 22055.6, 520.7, 24.3, 358.9, 100.7, 27.4
1, 127664, 06/12/2018 01:39:49, 36.3, 72.1, 8.6, 2520.2, 193.2, 44.1, 0.7, 11.5, 290.8, 184.5, 13932.6, 491.2, 19.4, 243.2, 75.5, 14.7
1, 127665, 06/12/2018 01:59:48, 36.1, 64, 8.7, 2127.3, 269.5, 60.5, 0.7, 6, 259.2, 163.9, 16050.9, 635.1, 17.8, 212.5, 67.1, 17.8
1, 127666, 06/12/2018 02:19:48, 29.7, 52, 7.4, 5713.6, 231.8, 54.4, 0.6, 0, 244.2, 133.1, 33701.3, 633.2, 15.2, 198.5, 67, 11.1
1, 127667, 06/12/2018 02:39:48, 57.2, 85.9, 10.1, 6098.4, 215.2, 32.6, 0.7, 0.3, 306.3, 219.9, 37680.6, 887.7, 21.2, 346.4, 50.6, 4.1
1, 127668, 06/12/2018 02:59:48, 51.8, 67, 10.2, 4033.5, 216.9, 36.8, 1.2, 1, 299.7, 171.6, 26020.2, 525.2, 18.8, 296, 66.4, 6.3
1, 127669, 06/12/2018 03:19:49, 21.7, 49.7, 6.4, 2112.4, 265.9, 41.9, 0.6, 0, 211.9, 127.4, 21624.1, 167, 10.5, 134.1, 70.5, 23.7
1, 127670, 06/12/2018 03:39:49, 30, 48.2, 8.6, 1221.8, 328.2, 51.5, 0.7, 0, 231.3, 123.5, 21126.4, 179.3, 9.5, 126.8, 94, 16.6
1, 127671, 06/12/2018 03:59:48, 30, 39.6, 8, 857, 341.1, 48.8, 0.7, 0, 173.9, 101.5, 49246.2, 214.1, 6, 101.7, 95.2, 4.3
1, 127672, 06/12/2018 04:19:48, 35.9, 40.7, 8.9, 1397.3, 623.8, 49.1, 0.7, 0, 193.6, 104.2, 53012.4, 160, 5, 79.3, 84.3, 4.2
1, 127673, 06/12/2018 04:39:48, 36.1, 31.1, 7.7, 751.4, 580.8, 35.8, 0.6, 0, 104.1, 79.6, 51467, 142.7, 4.8, 72.5, 83.8, 3.9
