HOST, TIME, SNAP_ID, SYS_CPU, SYS_DBTIME, SYS_SYSPCT, SYS_READ, SYS_WRITE, SYS_REDO, SYS_OSWAIT, SYS_RMWAIT, SYS_ACTSESS_MAX, SYS_ACTSESS_AVG, SYS_PGA, SYS_PXRUNS, SYS_PXQCT, SYS_PXSRVT, SYS_UCALLS, SYS_IOWAIT
1, 08/01/2019 23:59:56, 129851, 38.8, 44.8, 12.7, 1126, 196.1, 35.9, 1, 0.4, 146.9, 114.8, 15810.4, 232.9, 6.5, 164.8, 116.2, 15.1
1, 09/01/2019 00:19:55, 129852, 37.4, 55.2, 10.6, 10330.6, 231.7, 48.5, 0.9, 13.1, 270.2, 141.2, 13243.1, 290.3, 9, 142.7, 159.1, 7.5
1, 09/01/2019 00:39:55, 129853, 30.1, 63.3, 7.9, 16050.5, 82.8, 17.9, 0.6, 27.6, 250.6, 162.2, 13498.8, 257.2, 17.3, 202.1, 89, 5.5
1, 09/01/2019 00:59:55, 129854, 50.3, 79.4, 12.3, 3002.1, 232.5, 29.3, 1, 16.9, 324.5, 203.3, 18773.8, 908.1, 17.9, 242.4, 109, 12.6
1, 09/01/2019 01:19:55, 129855, 51.6, 74.5, 12.1, 1682.5, 278.3, 40.7, 0.9, 7.4, 290.1, 190.7, 28970.3, 620.6, 13.1, 182.4, 120.6, 15
1, 09/01/2019 01:40:55, 129856, 36.7, 56.2, 9.5, 1588.9, 106.1, 24.6, 0.8, 9.8, 294.9, 144, 11840.6, 707.8, 11.4, 141.8, 95.1, 8.5
1, 09/01/2019 01:59:55, 129857, 36.8, 47.5, 9.1, 1651.8, 159.9, 28.3, 0.8, 7.9, 159.7, 121.5, 13377.2, 720, 11.7, 144.1, 71.7, 7.1
1, 09/01/2019 02:19:55, 129858, 43.2, 48.2, 9.9, 5896.2, 108.4, 22.7, 0.8, 5, 205.3, 123.5, 34339.4, 787.5, 13.3, 175.4, 64.1, 6.3
1, 09/01/2019 02:39:55, 129859, 66.1, 81.8, 13.3, 6782.4, 170, 12.5, 1, 4.1, 280.6, 209.3, 35242.1, 294.2, 17.3, 276.6, 53.2, 15.1
1, 09/01/2019 02:59:55, 129860, 64.3, 97.8, 12.3, 6081, 135.1, 12.8, 5.8, 17.4, 317.6, 250.5, 39537.9, 196.3, 17.6, 357.1, 45.2, 20.8
1, 09/01/2019 03:19:55, 129861, 34.6, 60.3, 8.5, 3007.2, 171.4, 11.9, 0.7, 4.1, 219.1, 154.4, 32834.6, 265.2, 12.5, 192.3, 49.4, 14.8
