INSTANCE_NUMBER, SNAP_ID, T_BEG, USR_GROUP, CPU, DBTIME, PGA, OTH_WAIT, PXENQ, PXQTIME, PXQRY, PXREL, REQS, YIELDS, IOWAIT, READ, WRITE
1, 132122, 12/02/2019 00:00:06, ADW_UNLOAD_GROUP, 0.9, 5.7, 3329.9, 0.3, 0, 0, 0, 0, 51, 220, 4.5, 32.2, 986.4
1, 132123, 12/02/2019 00:20:05, ADW_UNLOAD_GROUP, 0.9, 10.4, 2472.2, 0.5, 0, 0, 0, 0, 185, 232, 9, 29.1, 1407.4
1, 132124, 12/02/2019 00:40:09, ADW_UNLOAD_GROUP, 0.8, 2.9, 2648.4, 0.1, 0, 0, 0, 0, 262, 292, 2, 22.4, 811.7
1, 132125, 12/02/2019 01:00:13, ADW_UNLOAD_GROUP, 3.7, 13.7, 3747, 3.9, 0, 0, 14, 108, 642, 2011, 6.1, 804.2, 5550.2
1, 132126, 12/02/2019 01:20:19, ADW_UNLOAD_GROUP, 7.2, 23.3, 4715.1, 4, 1, 0, 7, 64, 825, 4539, 12.1, 2736.2, 5442.9
1, 132127, 12/02/2019 01:40:12, ADW_UNLOAD_GROUP, 3.2, 13.7, 3423.9, 2.6, 0, 0, 15, 128, 597, 2190, 7.9, 260.6, 5117.1
1, 132128, 12/02/2019 02:00:24, ADW_UNLOAD_GROUP, 4.6, 15.3, 4315.2, 3.2, 0, 0, 6, 76, 674, 3448, 7.5, 1325, 5550.9
1, 132129, 12/02/2019 02:20:38, ADW_UNLOAD_GROUP, 11.9, 20.6, 8857.4, 3, 1, 0, 29, 288, 1363, 16935, 5.7, 3882.4, 5257.6
1, 132130, 12/02/2019 02:40:07, ADW_UNLOAD_GROUP, 29.8, 50, 23093.3, 12.1, 0, 0, 43, 476, 1657, 53037, 8.1, 4959.9, 4350
1, 132131, 12/02/2019 03:00:08, ADW_UNLOAD_GROUP, 25.2, 50.3, 12888.1, 12.6, 0, 0, 24, 392, 509, 46455, 12.5, 3363.4, 6051.8
1, 132132, 12/02/2019 03:20:06, ADW_UNLOAD_GROUP, 3.4, 45.4, 11084.3, 6, 0, 0, 15, 112, 422, 1300, 36, 391.1, 4223.4
1, 132133, 12/02/2019 03:40:13, ADW_UNLOAD_GROUP, 8.4, 18.7, 18790, 1.6, 0, 0, 15, 165, 289, 4851, 8.7, 1357.7, 4026
1, 132134, 12/02/2019 04:00:05, ADW_UNLOAD_GROUP, 2.6, 8.2, 7318.7, 1, 0, 0, 9, 76, 222, 886, 4.6, 247.1, 1063.6
1, 132135, 12/02/2019 04:20:05, ADW_UNLOAD_GROUP, 1.4, 5.9, 3157, 0.3, 0, 0, 0, 0, 241, 366, 4.2, 47.2, 788.4
1, 132136, 12/02/2019 04:40:15, ADW_UNLOAD_GROUP, 1.6, 12.9, 3075.7, 1, 0, 0, 0, 0, 183, 376, 10.3, 52.7, 1579.6
1, 132137, 12/02/2019 05:00:19, ADW_UNLOAD_GROUP, 1.5, 13.9, 2684.7, 0.6, 0, 0, 0, 0, 546, 363, 11.8, 64.1, 1516.8
1, 132138, 12/02/2019 05:20:08, ADW_UNLOAD_GROUP, 1.7, 7, 3035.7, 1.1, 0, 0, 0, 0, 44, 355, 4.2, 55, 2548.7
1, 132139, 12/02/2019 05:40:26, ADW_UNLOAD_GROUP, 1.1, 4.1, 2610.2, 0.2, 0, 0, 0, 0, 44, 241, 2.8, 39.4, 1129.1
1, 132140, 12/02/2019 06:00:01, ADW_UNLOAD_GROUP, 1.4, 11.5, 3361.8, 0.6, 0, 0, 0, 0, 165, 280, 9.5, 35.9, 1148.9
1, 132141, 12/02/2019 06:20:04, ADW_UNLOAD_GROUP, 1.3, 8.2, 2841.1, 0.5, 0, 0, 0, 0, 108, 261, 6.4, 41.3, 898.6
1, 132142, 12/02/2019 06:40:13, ADW_UNLOAD_GROUP, 0.9, 3.4, 2657.9, 0, 0, 0, 0, 0, 89, 151, 2.5, 33.2, 636.7
1, 132143, 12/02/2019 07:00:19, ADW_UNLOAD_GROUP, 1.6, 9.2, 3117.6, 0.2, 0, 0, 0, 0, 53, 324, 7.4, 48.4, 1396.4
1, 132144, 12/02/2019 07:20:23, ADW_UNLOAD_GROUP, 2.1, 9.6, 3077.6, 1.1, 0, 0, 0, 0, 65, 492, 6.4, 89.1, 2356
1, 132145, 12/02/2019 07:40:02, ADW_UNLOAD_GROUP, 2.2, 8.8, 2947.8, 0.8, 0, 0, 0, 0, 97, 529, 5.8, 90.2, 1682.4
1, 132146, 12/02/2019 08:00:11, ADW_UNLOAD_GROUP, 2.1, 8.9, 2991.5, 1, 0, 0, 0, 0, 65, 457, 5.8, 81.6, 1905
1, 132147, 12/02/2019 08:20:08, ADW_UNLOAD_GROUP, 1.9, 8.6, 3022.7, 1.4, 0, 0, 0, 0, 115, 356, 5.3, 76.4, 2816.2
1, 132148, 12/02/2019 08:40:19, ADW_UNLOAD_GROUP, 1.8, 7.7, 3118.9, 1.3, 0, 0, 0, 0, 96, 361, 4.6, 73.3, 1725.3
1, 132149, 12/02/2019 09:00:04, ADW_UNLOAD_GROUP, 1.4, 7, 2866.4, 0.7, 0, 0, 0, 0, 177, 290, 4.9, 59.6, 1186
1, 132150, 12/02/2019 09:20:11, ADW_UNLOAD_GROUP, 0.7, 2.2, 1228.9, 0, 0, 0, 8, 128, 62, 119, 1.5, 26.8, 778.8
1, 132151, 12/02/2019 09:40:07, ADW_UNLOAD_GROUP, 4.8, 17.8, 937.2, 0.5, 0, 0, 32, 512, 1129, 4983, 12.5, 3827.6, 3318.7
1, 132152, 12/02/2019 10:00:19, ADW_UNLOAD_GROUP, 7.6, 35.4, 2003, 20.2, 3, 0, 60, 1040, 1769, 6604, 7.6, 1348.5, 8117.5
1, 132153, 12/02/2019 10:20:29, ADW_UNLOAD_GROUP, 6, 12.2, 837.9, 5.2, 1, 0, 77, 1312, 2194, 4952, 1, 1932, 3192.1
1, 132154, 12/02/2019 10:40:05, ADW_UNLOAD_GROUP, 1.1, 1.3, 52.7, 0.2, 0, 0, 3, 64, 757, 545, 0, 117.8, 0.4
1, 132155, 12/02/2019 11:00:36, ADW_UNLOAD_GROUP, 0, 0, 0.9, 0, 0, 0, 0, 0, 483, 0, 0, 0, 0
1, 132156, 12/02/2019 11:20:13, ADW_UNLOAD_GROUP, 0, 0, 0, 0, 0, 0, 0, 0, 343, 1, 0, 0, 0
1, 132157, 12/02/2019 11:40:14, ADW_UNLOAD_GROUP, 0, 0, 0.9, 0, 0, 0, 0, 0, 694, 0, 0, 0, 0
1, 132158, 12/02/2019 12:00:02, ADW_UNLOAD_GROUP, 15.7, 26.4, 8878.7, 6.7, 4, 0, 49, 460, 2161, 22781, 4, 4812.8, 3291.5
1, 132159, 12/02/2019 12:20:09, ADW_UNLOAD_GROUP, 30.3, 41, 20897.8, 9.2, 9, 0, 47, 536, 2274, 58043, 1.5, 7550.4, 941.1
1, 132160, 12/02/2019 12:40:02, ADW_UNLOAD_GROUP, 28.2, 44.3, 14065.8, 14.1, 2, 0, 46, 532, 1732, 28284, 2, 3895.2, 2879.2
1, 132161, 12/02/2019 13:00:18, ADW_UNLOAD_GROUP, 6.3, 12.9, 8922.2, 5.1, 1, 0, 19, 221, 506, 2913, 1.5, 1073, 4192.3
1, 132162, 12/02/2019 13:20:05, ADW_UNLOAD_GROUP, 3.7, 5.5, 11174.5, 1.3, 0, 0, 14, 112, 271, 1236, 0.5, 612.2, 1507.6
1, 132163, 12/02/2019 13:40:23, ADW_UNLOAD_GROUP, 0.8, 0.9, 2884.3, 0.1, 0, 0, 2, 24, 539, 170, 0, 31.6, 2.7
1, 132164, 12/02/2019 14:00:42, ADW_UNLOAD_GROUP, 0, 0.1, 0.9, 0.1, 0, 0, 0, 0, 562, 0, 0, 0, 0
1, 132165, 12/02/2019 14:20:13, ADW_UNLOAD_GROUP, 0, 0, 0.8, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0
1, 132166, 12/02/2019 14:40:23, ADW_UNLOAD_GROUP, 0, 0, 0, 0, 0, 0, 0, 0, 542, 1, 0, 0, 0
1, 132122, 12/02/2019 00:00:06, FP_DM_PRIOR, 2.8, 5.9, 1411, 2.6, 0, 0, 1, 4, 186, 1289, 0.5, 333.9, 2475.7
1, 132123, 12/02/2019 00:20:05, FP_DM_PRIOR, 2.2, 5.1, 1647.1, 2.3, 0, 0, 80, 2008, 2096, 2523, 0.6, 1009.6, 407.8
1, 132124, 12/02/2019 00:40:09, FP_DM_PRIOR, 3.6, 9.6, 1045.8, 5.2, 0, 0, 57, 1448, 1422, 2681, 0.8, 1319.3, 3155.7
1, 132125, 12/02/2019 01:00:13, FP_DM_PRIOR, 0.3, 0.4, 40.4, 0, 0, 0, 0, 0, 31, 24, 0.1, 7.8, 6.8
1, 132126, 12/02/2019 01:20:19, FP_DM_PRIOR, 7.1, 12, 1792.9, 3.3, 0, 0, 100, 2588, 2897, 6934, 1.6, 1515.2, 1778
1, 132127, 12/02/2019 01:40:12, FP_DM_PRIOR, 3.8, 9.3, 1654.2, 4.7, 0, 0, 18, 432, 401, 2176, 0.8, 732.8, 4313.7
1, 132128, 12/02/2019 02:00:24, FP_DM_PRIOR, 4.7, 7.2, 1293.4, 1.9, 0, 0, 63, 1572, 1912, 3091, 0.6, 1252.2, 2310.8
1, 132129, 12/02/2019 02:20:38, FP_DM_PRIOR, 1, 2.4, 153.3, 1.2, 0, 0, 4, 112, 102, 422, 0.2, 112.7, 930.8
1, 132130, 12/02/2019 02:40:07, FP_DM_PRIOR, 5.7, 12.9, 1967.7, 6.4, 0, 0, 22, 504, 743, 3497, 0.8, 735.8, 2087.4
1, 132131, 12/02/2019 03:00:08, FP_DM_PRIOR, 1.9, 3.5, 652.8, 0.6, 0, 0, 5, 112, 88, 900, 1, 124, 722.6
1, 132132, 12/02/2019 03:20:06, FP_DM_PRIOR, 2.4, 6.8, 2595.6, 2.5, 0, 0, 9, 145, 399, 729, 1.9, 539.7, 531.9
1, 132133, 12/02/2019 03:40:13, FP_DM_PRIOR, 4.4, 10.2, 2258.4, 5.4, 0, 0, 12, 290, 238, 1897, 0.4, 1055, 1855.7
1, 132134, 12/02/2019 04:00:05, FP_DM_PRIOR, 3.5, 4.9, 1833.7, 0.8, 0, 0, 21, 500, 721, 1469, 0.6, 516.4, 1721.5
1, 132135, 12/02/2019 04:20:05, FP_DM_PRIOR, 4.8, 11.3, 1309.5, 5.4, 0, 0, 17, 432, 377, 2756, 1.1, 807.2, 5527.7
1, 132136, 12/02/2019 04:40:15, FP_DM_PRIOR, 4.3, 5.5, 1929.4, 0.8, 0, 0, 47, 1084, 1337, 2559, 0.4, 1138.4, 1045.1
1, 132137, 12/02/2019 05:00:19, FP_DM_PRIOR, 2.5, 7, 953.2, 3.9, 0, 0, 20, 440, 518, 970, 0.6, 673, 2534.1
1, 132138, 12/02/2019 05:20:08, FP_DM_PRIOR, 7, 9.3, 2579.7, 1.9, 0, 0, 28, 736, 972, 6064, 0.4, 901, 1468.4
1, 132139, 12/02/2019 05:40:26, FP_DM_PRIOR, 3.4, 6.1, 1037.2, 2.5, 0, 0, 4, 80, 53, 1527, 0.2, 483.6, 2748.1
1, 132140, 12/02/2019 06:00:01, FP_DM_PRIOR, 6.4, 11.3, 2040.7, 4, 0, 0, 27, 712, 1009, 3586, 0.9, 1487.9, 2368.9
1, 132141, 12/02/2019 06:20:04, FP_DM_PRIOR, 5.9, 8.9, 2187.6, 2.6, 0, 0, 58, 1264, 1532, 2636, 0.4, 1922, 1624.8
1, 132142, 12/02/2019 06:40:13, FP_DM_PRIOR, 1.1, 1.6, 251.8, 0.4, 0, 0, 26, 552, 660, 366, 0.1, 438.4, 356.7
1, 132143, 12/02/2019 07:00:19, FP_DM_PRIOR, 6.5, 12.2, 2155.7, 4.7, 0, 0, 12, 232, 428, 2926, 1, 653.2, 2515.1
1, 132144, 12/02/2019 07:20:23, FP_DM_PRIOR, 3.2, 5.4, 1139.7, 2, 0, 0, 0, 0, 0, 1079, 0.2, 255.6, 1593.3
1, 132145, 12/02/2019 07:40:02, FP_DM_PRIOR, 5.4, 5.9, 1197.7, 0, 0, 0, 41, 928, 1267, 3172, 0.5, 1913.3, 921.4
1, 132146, 12/02/2019 08:00:11, FP_DM_PRIOR, 4.8, 6.3, 1186.7, 0.9, 6, 0.5, 51, 1116, 1439, 2337, 0.6, 1486.9, 929.7
1, 132147, 12/02/2019 08:20:08, FP_DM_PRIOR, 0.7, 1, 211.3, 0.3, 0, 0, 2, 48, 37, 252, 0, 182.6, 83.6
1, 132148, 12/02/2019 08:40:19, FP_DM_PRIOR, 5.2, 6.4, 1937.1, 0.7, 0, 0, 68, 1720, 2059, 3034, 0.5, 2314.9, 827.7
1, 132149, 12/02/2019 09:00:04, FP_DM_PRIOR, 0.1, 0.2, 72, 0.1, 0, 0, 1, 32, 87, 16, 0, 3.8, 8.5
1, 132150, 12/02/2019 09:20:11, FP_DM_PRIOR, 7.6, 16.6, 2464.3, 8.1, 4, 0, 34, 776, 1024, 6899, 0.9, 1133.6, 3665.4
1, 132151, 12/02/2019 09:40:07, FP_DM_PRIOR, 4.8, 6.5, 1855.1, 1.3, 0, 0, 11, 204, 444, 2683, 0.4, 494.8, 1601.4
1, 132152, 12/02/2019 10:00:19, FP_DM_PRIOR, 3.3, 9.3, 1581.4, 5.5, 0, 0, 17, 432, 406, 1800, 0.5, 1293.8, 1636.1
1, 132153, 12/02/2019 10:20:29, FP_DM_PRIOR, 2.9, 4.4, 1901.7, 1.2, 0, 0, 0, 0, 60, 1377, 0.3, 231.3, 1381.2
1, 132154, 12/02/2019 10:40:05, FP_DM_PRIOR, 6.2, 10.9, 2178.3, 4.1, 1, 0, 28, 720, 960, 3386, 0.6, 1838.2, 1631.3
1, 132155, 12/02/2019 11:00:36, FP_DM_PRIOR, 3.2, 6, 1511, 1.9, 0, 0, 0, 0, 5, 1282, 0.9, 277, 1782.9
1, 132156, 12/02/2019 11:20:13, FP_DM_PRIOR, 5.7, 8.9, 1435.8, 2.7, 1, 0, 48, 1240, 1578, 3076, 0.5, 1926.7, 1253.9
1, 132157, 12/02/2019 11:40:14, FP_DM_PRIOR, 2.9, 5.2, 1017.4, 1.9, 0, 0, 0, 0, 0, 1249, 0.4, 318.8, 2201.1
1, 132158, 12/02/2019 12:00:02, FP_DM_PRIOR, 6.9, 11, 1800.7, 2.5, 2, 0, 86, 2140, 2445, 4122, 1.6, 1577.8, 2419.8
1, 132159, 12/02/2019 12:20:09, FP_DM_PRIOR, 2, 5.2, 744.8, 2.6, 0, 0, 0, 0, 120, 1035, 0.6, 146.9, 1697.8
1, 132160, 12/02/2019 12:40:02, FP_DM_PRIOR, 6.1, 10.5, 2611.5, 3.6, 0, 0, 42, 928, 1122, 3503, 0.8, 1401, 2287.7
1, 132161, 12/02/2019 13:00:18, FP_DM_PRIOR, 1.5, 6.4, 572.7, 4.2, 0, 0, 8, 208, 177, 823, 0.7, 244.8, 1820.2
1, 132162, 12/02/2019 13:20:05, FP_DM_PRIOR, 2.7, 4, 623, 0.9, 2, 0, 46, 1150, 1365, 1838, 0.4, 732.6, 646
1, 132163, 12/02/2019 13:40:23, FP_DM_PRIOR, 3.6, 6.7, 1476.8, 2.6, 0, 0, 26, 700, 753, 1897, 0.5, 417, 2896
1, 132164, 12/02/2019 14:00:42, FP_DM_PRIOR, 4, 5.7, 1436.7, 1.5, 0, 0, 52, 1432, 1648, 1810, 0.2, 1117.3, 428.8
1, 132165, 12/02/2019 14:20:13, FP_DM_PRIOR, 3.5, 7.5, 1226.2, 3.1, 0, 0, 31, 648, 688, 1503, 0.9, 1747, 2890.7
1, 132166, 12/02/2019 14:40:23, FP_DM_PRIOR, 5.3, 7.9, 2089.7, 1.7, 3, 0, 100, 2488, 2900, 3543, 0.9, 2144.6, 2942.7
1, 132123, 12/02/2019 00:20:05, HDP_UNLOAD_GROUP, 1.2, 3.9, 143.3, 2.2, 0, 0, 11, 136, 472, 2371, 0.5, 338.5, 319.8
1, 132124, 12/02/2019 00:40:09, HDP_UNLOAD_GROUP, 10.4, 46.6, 2493.1, 27.7, 0, 0, 28, 272, 486, 20426, 8.5, 2274.9, 1795.6
1, 132125, 12/02/2019 01:00:13, HDP_UNLOAD_GROUP, 10.4, 40.6, 2353.9, 24.2, 0, 0, 21, 208, 288, 22414, 6, 1034.2, 439.7
1, 132126, 12/02/2019 01:20:19, HDP_UNLOAD_GROUP, 9.9, 23.9, 1679.2, 8.2, 0, 0, 66, 684, 1125, 11053, 5.8, 959.3, 1215.7
1, 132127, 12/02/2019 01:40:12, HDP_UNLOAD_GROUP, 9.2, 10.8, 850.3, 1.3, 0, 0, 53, 468, 764, 7631, 0.3, 659, 156.7
1, 132128, 12/02/2019 02:00:24, HDP_UNLOAD_GROUP, 7.4, 8.4, 518.8, 0.7, 0, 0, 51, 444, 795, 5243, 0.3, 871.5, 249.4
1, 132129, 12/02/2019 02:20:38, HDP_UNLOAD_GROUP, 4.1, 4.7, 414.7, 0.5, 0, 0, 63, 520, 937, 2066, 0.1, 421.3, 109.7
