HOST, TIME, SYS_CPU, SYS_DBTIME, SYS_SYSPCT, SYS_READ, SYS_WRITE, SYS_REDO, SYS_OSWAIT, SYS_RMWAIT, SYS_ACTSESS_MAX, SYS_ACTSESS_AVG, SYS_PGA, SYS_PXRUNS, SYS_PXQCT, SYS_PXSRVT, SYS_UCALLS, SYS_IOWAIT
1, 07/12/2018 06:59:42, 40.3, 43.8, 12.5, 90.8, 340.4, 64.5, 1.1, 0, 144, 112.2, 11925.9, 168.4, 2.1, 19.1, 189.1, 7.1
1, 07/12/2018 07:19:42, 45.7, 55.8, 14.5, 1086.9, 347.3, 59.1, 1.2, 0.3, 204, 143, 12703.3, 251.5, 3.1, 36.9, 154.8, 15.7
1, 07/12/2018 07:39:42, 52.2, 78.4, 15, 936.3, 399.7, 79.5, 1.2, 0, 285.7, 200.6, 10622.7, 241, 2.6, 41.1, 167.7, 10
1, 07/12/2018 07:59:42, 48.1, 91.8, 12.9, 208.2, 398.7, 74, 1, 0, 332.5, 235, 11868.1, 145.4, 5, 54.7, 132.9, 12.7
1, 07/12/2018 08:19:42, 47.7, 71.6, 14.3, 146.3, 396.2, 78.2, 1.1, 0, 255, 183.3, 11516.6, 152.7, 4.1, 38.9, 155.3, 13.9
1, 07/12/2018 08:39:42, 31.9, 88.4, 9.8, 1533.3, 257.2, 46, 0.8, 0, 394.6, 226.2, 12463.1, 531.7, 4.1, 82.5, 111.5, 9.7
1, 07/12/2018 08:59:42, 32.9, 60.5, 10.9, 808.6, 298.5, 58.9, 1, 0, 277.2, 155, 16830.2, 184, 3.5, 64.7, 134.1, 14.2
1, 07/12/2018 09:19:42, 31.6, 63, 10.2, 16321.5, 304.1, 60.5, 0.9, 0, 286.3, 161.2, 20060.4, 154.2, 4.8, 104.3, 134.6, 12.3
1, 07/12/2018 09:39:42, 31.9, 67.2, 10.3, 534.9, 305.4, 61.7, 0.9, 1.4, 298.4, 172.1, 18082.6, 232.5, 6.1, 126.2, 128.5, 11.6
1, 07/12/2018 09:59:41, 64.5, 104.7, 15.8, 20263.4, 417.1, 60.2, 1.4, 0.2, 431, 268, 26601.7, 236.8, 10.1, 262.7, 117.7, 14.8
1, 07/12/2018 10:19:42, 44.7, 78.1, 12.2, 6122.8, 356.8, 63.7, 1, 0, 277.7, 200, 26970.2, 189.7, 8.1, 200.2, 121.6, 12.6
1, 07/12/2018 10:40:41, 29.8, 90.3, 9.3, 192.6, 233.2, 46.9, 0.8, 0, 357.6, 231.2, 11783.2, 177.9, 4.7, 93.3, 133, 11.8
1, 07/12/2018 10:59:41, 30.2, 58, 9.4, 797.1, 268.3, 55, 0.8, 0, 274.3, 148.5, 12970, 231, 3.5, 43.2, 143.7, 13
1, 07/12/2018 11:19:42, 36.2, 69.2, 10.9, 1258.3, 321.1, 58, 0.9, 0, 294.8, 177.1, 15348.9, 223.4, 3.9, 77.6, 144.8, 10.4
1, 07/12/2018 11:39:41, 33.2, 50.8, 10.5, 233.1, 313.4, 59.6, 0.9, 0, 259.4, 130.1, 10459.1, 186.1, 2.6, 38.5, 165.4, 10.5
