HOST, SNAP_ID, TIME, SYS_CPU, SYS_DBTIME, SYS_SYSPCT, SYS_READ, SYS_WRITE, SYS_REDO, SYS_OSWAIT, SYS_RMWAIT, SYS_ACTSESS_MAX, SYS_ACTSESS_AVG, SYS_PGA, SYS_PXRUNS, SYS_PXQCT, SYS_PXSRVT, SYS_UCALLS, SYS_IOWAIT
1, 127371, 01/12/2018 23:59:10, 16.4, 21.8, 5.4, 744.3, 86.3, 12.3, 0.5, 0, 131.7, 55.9, 10961.6, 194.8, 4.9, 82.5, 39.1, 8
1, 127372, 02/12/2018 00:20:09, 22.8, 48.6, 6.8, 8403.3, 88.6, 10.2, 0.6, 7.7, 308, 124.4, 19929.6, 216.1, 10.8, 140.4, 48.6, 10.6
1, 127373, 02/12/2018 00:40:09, 42.2, 81.7, 11.2, 1961.4, 143.3, 13.7, 0.9, 26.1, 232.1, 209.2, 15903.9, 160, 21.8, 248.4, 61, 13.4
1, 127374, 02/12/2018 01:00:09, 32.3, 77, 8.8, 1394.3, 111.6, 15.5, 0.7, 9.3, 338.3, 197, 17119.8, 836.2, 18.5, 191, 53.7, 19.9
1, 127375, 02/12/2018 01:20:08, 22.4, 44.2, 6.2, 1223.8, 129.9, 13.3, 0.5, 0.1, 156.8, 113.3, 15585.8, 649.7, 13.1, 127.9, 46.1, 20.4
1, 127376, 02/12/2018 01:40:09, 8.7, 30.2, 2.8, 585.6, 52.4, 4.7, 0.3, 0, 212.4, 77.3, 11261.2, 770.7, 8.9, 66.1, 11.3, 15.2
1, 127377, 02/12/2018 02:00:09, 10.1, 19.5, 3, 6443.8, 97.4, 11.5, 0.3, 0, 68.8, 50, 14995.3, 1000.5, 7.1, 62.3, 14.3, 10.8
1, 127378, 02/12/2018 02:20:09, 18.8, 28, 4.1, 5195, 67.6, 9.1, 0.4, 0, 124.7, 71.6, 47978.7, 183, 10.2, 126.4, 11.6, 11.1
1, 127379, 02/12/2018 02:40:09, 45.2, 53.9, 7.9, 5995.3, 138.7, 5.5, 0.6, 0.3, 171.4, 137.9, 68595.4, 226.8, 16.1, 266.6, 10.5, 12
1, 127380, 02/12/2018 03:00:08, 29.7, 43.3, 6, 4256.5, 83.2, 8.2, 0.5, 0, 170.2, 110.9, 32115.1, 207.1, 16.9, 279.6, 12.4, 10.1
