HOST, TIME, SNAP_ID, SYS_CPU, SYS_DBTIME, SYS_SYSPCT, SYS_READ, SYS_WRITE, SYS_REDO, SYS_OSWAIT, SYS_RMWAIT, SYS_ACTSESS_MAX, SYS_ACTSESS_AVG, SYS_PGA, SYS_PXRUNS, SYS_PXQCT, SYS_PXSRVT, SYS_UCALLS, SYS_IOWAIT
1, 22/12/2018 00:00:28, 128555, 46.1, 46.7, 10.9, 671.1, 485.4, 45.2, 0.8, 0.1, 128.3, 119.4, 67873.4, 101.1, 7.3, 132.3, 109.6, 6.5
1, 22/12/2018 00:19:27, 128556, 47.7, 74.9, 10.8, 11729, 347.2, 43.3, 2, 11.9, 391.3, 191.7, 70631, 92, 13.2, 194.3, 113.6, 7
1, 22/12/2018 00:39:27, 128557, 52.3, 109.8, 10.8, 1827.9, 370.2, 28.3, 1.3, 31.8, 333.3, 281.1, 70837.5, 67, 25, 315.1, 89.6, 6.6
1, 22/12/2018 00:59:26, 128558, 49.7, 91.6, 11.2, 1242.3, 285.4, 27.7, 0.8, 28, 264, 234.4, 37007.2, 652.1, 25, 296.2, 104.6, 10.1
1, 22/12/2018 01:19:27, 128559, 54, 97, 11.8, 1827.7, 250.2, 24.8, 1, 12.9, 369.9, 248.4, 56464.2, 355.3, 21.6, 256.1, 89.4, 14.9
1, 22/12/2018 01:39:27, 128560, 52.8, 71.5, 11.5, 1142, 206.6, 18, 0.9, 8.4, 247.5, 182.9, 67806.2, 529.8, 19.9, 234.4, 94.6, 15.5
1, 22/12/2018 01:59:27, 128561, 54.1, 73.8, 12, 2745.1, 260.5, 30.3, 0.8, 6.5, 228.3, 189, 65112.8, 610.8, 18.8, 257.6, 106.1, 12.5
1, 22/12/2018 02:19:27, 128562, 46, 52.1, 11.2, 979.3, 296.1, 29.9, 0.8, 0.4, 172.7, 133.3, 63315.3, 622.1, 16.2, 212.2, 118.4, 10.2
1, 22/12/2018 02:39:27, 128563, 28.3, 41.4, 7.5, 1233.1, 302.4, 13.8, 0.6, 2, 198.8, 105.9, 71713.9, 632.6, 14, 207.6, 65.9, 3.9
1, 22/12/2018 02:59:26, 128564, 26.4, 51.8, 6.7, 975, 449.3, 12.7, 0.6, 0.5, 430.1, 132.5, 67110.4, 107, 11.1, 199.7, 42.8, 6.1
1, 22/12/2018 03:19:27, 128565, 24.2, 42.8, 6.6, 416.7, 289.2, 20.5, 0.6, 0, 155.3, 109.6, 64353.3, 83, 11.9, 204.2, 66.1, 22.3
1, 22/12/2018 03:39:27, 128566, 40.4, 57.8, 9.5, 1072.9, 152.2, 19.8, 0.7, 2, 286.3, 147.9, 65878.6, 83, 14.6, 245, 63.3, 5.5
1, 22/12/2018 03:59:26, 128567, 39.8, 43.4, 9.7, 463.7, 243.9, 23.8, 0.7, 0, 145.5, 111.1, 74764.2, 63.7, 10.6, 186.1, 78.9, 6.3
1, 22/12/2018 04:20:26, 128568, 45.8, 44.8, 11, 1122.6, 506.6, 22.5, 0.8, 0.8, 163.5, 114.6, 59219.1, 82.1, 12, 234.9, 72.9, 6.2
1, 22/12/2018 04:39:26, 128569, 29.4, 28.4, 6.9, 861.2, 514.4, 18.2, 0.6, 0.4, 105.6, 72.8, 55426.3, 56.8, 9.7, 171, 62.1, 4.8
1, 22/12/2018 04:59:27, 128570, 30.8, 42, 7.8, 1889.1, 424, 21.1, 0.6, 0.1, 193.6, 107.5, 55652.5, 121.9, 9.7, 197.1, 63.1, 7.7
1, 22/12/2018 05:19:26, 128571, 25.6, 33, 8.3, 1369.1, 169.3, 29.2, 0.7, 0.5, 133.7, 84.6, 54420, 66.5, 7.1, 127.9, 75.8, 6.1
1, 22/12/2018 05:39:26, 128572, 30, 44.6, 9.2, 2166.3, 173.7, 25.5, 0.7, 0.2, 201.7, 114.2, 21987.6, 186, 7.6, 155, 66.8, 7.4
1, 22/12/2018 05:59:26, 128573, 39.7, 43.2, 10.9, 811.4, 280.3, 39.8, 0.9, 0, 171.9, 110.7, 18090.2, 44.9, 7, 162.6, 88.8, 8
1, 22/12/2018 06:19:26, 128574, 25.2, 24.8, 8.1, 1743.9, 215, 36.3, 0.7, 0.1, 127.4, 63.5, 17086.4, 174.7, 5.8, 94.9, 94.2, 4.2
1, 22/12/2018 06:40:26, 128575, 27.5, 45.6, 7.2, 1330.6, 213.5, 44.7, 0.6, 1.3, 262, 116.6, 23759.8, 149.6, 6.8, 111.9, 81.1, 2.8
1, 22/12/2018 06:59:26, 128576, 42.6, 52.3, 11.5, 1315.7, 322, 61.2, 0.9, 0, 220, 133.8, 18585, 92.1, 6.8, 119.4, 103.4, 6
1, 22/12/2018 07:19:25, 128577, 41.7, 50.8, 11.7, 236.6, 391.3, 60.4, 0.9, 0, 272.6, 130, 20565, 83, 5.9, 93, 93.8, 4.5
1, 22/12/2018 07:39:26, 128578, 38, 48.8, 11.6, 1828.9, 349.1, 51.4, 0.9, 0.1, 254.6, 125, 17982.1, 176.6, 5.9, 96, 91.4, 5.1
1, 22/12/2018 07:59:26, 128579, 35, 46, 11.1, 347.9, 359.6, 58, 0.9, 0, 174.2, 117.8, 17426.6, 57, 4.6, 65, 101.8, 6.9
1, 22/12/2018 08:19:25, 128580, 42.7, 47.4, 12.5, 1742.1, 373.8, 53.6, 1, 0.1, 199.5, 121.2, 22920.5, 102.8, 6.6, 114.9, 116.8, 5.6
1, 22/12/2018 08:39:25, 128581, 27, 32.8, 7.9, 530.7, 280.5, 33.5, 0.7, 0, 121.2, 83.9, 21762.9, 45, 5.6, 80.5, 98.3, 4.4
