INSTANCE_NUMBER, SNAP_ID, T_BEG, USR_GROUP, CPU, DBTIME, PGA, OTH_WAIT, PXENQ, PXQTIME, PXQRY, PXREL, REQS, YIELDS, IOWAIT, READ, WRITE
1, 130140, 13/01/2019 00:20:02, ADW_UNLOAD_GROUP, 0, 0, 0, 0, 0, 0, 0, 0, 252, 0, 0, 0, 0
1, 130141, 13/01/2019 00:40:10, ADW_UNLOAD_GROUP, 0, 0, 0, 0, 0, 0, 0, 0, 334, 1, 0, 0, 0
1, 130142, 13/01/2019 01:00:15, ADW_UNLOAD_GROUP, 7.2, 22.2, 2539.5, 9, 0, 0, 12, 134, 1154, 1963, 6, 2802.9, 7721.6
1, 130143, 13/01/2019 01:20:14, ADW_UNLOAD_GROUP, 4.4, 8.9, 2037, 2.5, 0, 0, 15, 136, 792, 1078, 2, 1564.9, 3058.4
1, 130144, 13/01/2019 01:40:09, ADW_UNLOAD_GROUP, 1.3, 4.1, 608.7, 2.2, 0, 0, 6, 38, 399, 145, 0.6, 150.2, 1597.9
1, 130145, 13/01/2019 02:00:09, ADW_UNLOAD_GROUP, 2.1, 4.7, 699.3, 2.1, 0, 0, 6, 40, 176, 222, 0.5, 237.8, 1145.5
1, 130146, 13/01/2019 02:20:44, ADW_UNLOAD_GROUP, 9.6, 14.8, 2889.6, 4, 0, 0, 27, 264, 1112, 5188, 1.2, 4169.7, 1774.2
1, 130147, 13/01/2019 02:40:05, ADW_UNLOAD_GROUP, 32.3, 42.8, 31417.6, 8.2, 0, 0, 32, 336, 871, 42515, 2.3, 3987, 3101.4
1, 130148, 13/01/2019 03:00:21, ADW_UNLOAD_GROUP, 23.1, 38.4, 23075, 14.3, 0, 0, 17, 220, 428, 10599, 1, 3036.3, 1235.1
1, 130149, 13/01/2019 03:20:01, ADW_UNLOAD_GROUP, 17.2, 39.4, 10081.1, 18.3, 0, 0, 8, 104, 596, 12566, 3.9, 2261.5, 2167.8
1, 130150, 13/01/2019 03:40:09, ADW_UNLOAD_GROUP, 12.6, 38.9, 10158.1, 17.1, 0, 0, 19, 260, 403, 14090, 9.2, 1633.7, 4472.1
1, 130151, 13/01/2019 04:00:07, ADW_UNLOAD_GROUP, 6.6, 10.6, 15454.1, 0.9, 0, 0, 20, 233, 473, 1128, 3.1, 355.2, 5491.2
1, 130152, 13/01/2019 04:20:05, ADW_UNLOAD_GROUP, 3.1, 4, 7377.6, 0.8, 0, 0, 13, 108, 831, 445, 0.1, 384.1, 94.7
1, 130153, 13/01/2019 04:40:16, ADW_UNLOAD_GROUP, 0.1, 0.2, 613, 0.1, 0, 0, 1, 16, 313, 1, 0, 5.6, 0
1, 130154, 13/01/2019 05:00:09, ADW_UNLOAD_GROUP, 0, 0, 0, 0, 0, 0, 0, 0, 558, 0, 0, 0, 0
1, 130158, 13/01/2019 06:20:01, ADW_UNLOAD_GROUP, 0, 0, 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 0
1, 130159, 13/01/2019 06:40:10, ADW_UNLOAD_GROUP, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0
1, 130190, 13/01/2019 17:00:03, ADW_UNLOAD_GROUP, 25.3, 29.3, 12759.2, 2.3, 0, 0, 48, 516, 1412, 30962, 1.7, 5142.7, 2523.3
1, 130191, 13/01/2019 17:20:12, ADW_UNLOAD_GROUP, 33.3, 51.5, 16666.6, 16.2, 0, 0, 39, 400, 914, 55968, 2, 5430, 2157.4
1, 130192, 13/01/2019 17:40:04, ADW_UNLOAD_GROUP, 20.5, 29.4, 14270.2, 6.9, 0, 0, 24, 381, 515, 25787, 2, 2474, 2075.9
1, 130193, 13/01/2019 18:00:18, ADW_UNLOAD_GROUP, 18.4, 46.5, 10187.9, 0.4, 0, 0, 21, 188, 528, 6072, 27.7, 2281.3, 6974.2
1, 130194, 13/01/2019 18:20:33, ADW_UNLOAD_GROUP, 2.7, 6.3, 2653.6, 0.8, 0, 0, 1, 16, 45, 399, 2.8, 187, 1067
1, 130195, 13/01/2019 18:40:01, ADW_UNLOAD_GROUP, 1.6, 6.2, 920.5, 0.9, 0, 0, 8, 128, 257, 299, 3.7, 1983.3, 1925
1, 130196, 13/01/2019 19:00:05, ADW_UNLOAD_GROUP, 1, 6.3, 1239, 1.1, 0, 0, 0, 0, 60, 85, 4.2, 30.1, 2088.3
1, 130197, 13/01/2019 19:20:12, ADW_UNLOAD_GROUP, 0.7, 2.1, 1067.9, 0, 0, 0, 0, 0, 68, 30, 1.4, 16.4, 763.1
1, 130198, 13/01/2019 19:40:04, ADW_UNLOAD_GROUP, 0.7, 1.5, 926.3, 0, 0, 0, 0, 0, 89, 33, 0.8, 12.4, 453.9
1, 130199, 13/01/2019 20:00:08, ADW_UNLOAD_GROUP, 12.2, 15.7, 3195.9, 1.7, 0, 0, 9, 99, 1604, 7050, 1.8, 1255.4, 2128.9
1, 130200, 13/01/2019 20:20:04, ADW_UNLOAD_GROUP, 11.7, 16.1, 10631, 2.1, 0, 0, 6, 112, 360, 7075, 2.3, 1363.9, 7980.5
1, 130201, 13/01/2019 20:40:16, ADW_UNLOAD_GROUP, 14.1, 20.4, 8135.5, 3.2, 0, 0, 19, 304, 701, 15789, 3.1, 1926.8, 3362
1, 130202, 13/01/2019 21:00:09, ADW_UNLOAD_GROUP, 33.1, 68.3, 10256.8, 19.4, 0, 0, 20, 384, 533, 69384, 15.8, 1084.3, 11500.5
1, 130203, 13/01/2019 21:20:25, ADW_UNLOAD_GROUP, 29.5, 61.5, 10315, 1.7, 0, 0, 12, 256, 940, 34796, 30.3, 1799.9, 9771.5
1, 130204, 13/01/2019 21:40:42, ADW_UNLOAD_GROUP, 30.8, 56.8, 7615.5, 15, 0, 0, 43, 720, 1055, 55286, 11, 935.9, 15326.8
1, 130205, 13/01/2019 22:00:01, ADW_UNLOAD_GROUP, 28.4, 37.8, 13362.3, 2.8, 0, 0, 62, 1072, 1508, 24868, 6.6, 1323.7, 12336.3
1, 130206, 13/01/2019 22:20:01, ADW_UNLOAD_GROUP, 18.1, 19.2, 6134.8, 0, 0, 0, 17, 352, 556, 6694, 1.1, 2209.3, 2646.3
1, 130207, 13/01/2019 22:40:06, ADW_UNLOAD_GROUP, 17.5, 17.6, 8905.1, 0, 0, 0, 0, 0, 183, 5888, 0.1, 280.5, 80.6
1, 130208, 13/01/2019 23:00:10, ADW_UNLOAD_GROUP, 13.2, 14.6, 9447.1, 1.2, 0, 0, 28, 244, 638, 5703, 0.2, 481.5, 152.6
1, 130209, 13/01/2019 23:20:15, ADW_UNLOAD_GROUP, 9.2, 9.5, 9908.2, 0.1, 0, 0, 0, 0, 174, 2824, 0.2, 310.4, 171.7
1, 130210, 13/01/2019 23:40:17, ADW_UNLOAD_GROUP, 3.4, 4.2, 1998.3, 0.6, 0, 0, 1, 32, 363, 820, 0.2, 209.7, 290.9
1, 130139, 13/01/2019 00:00:00, FP_DM_PRIOR, 12, 20.6, 6084, 4.4, 0, 0, 86, 2088, 2673, 6695, 4.2, 2013.8, 16112.4
1, 130140, 13/01/2019 00:20:02, FP_DM_PRIOR, 8.8, 15.7, 21647.9, 5.1, 0, 0, 3, 80, 98, 2340, 1.8, 715.5, 6549.2
1, 130141, 13/01/2019 00:40:10, FP_DM_PRIOR, 11.7, 18.2, 6634.2, 3.9, 0, 0, 83, 2216, 2089, 7536, 2.6, 1530.4, 7087.3
1, 130142, 13/01/2019 01:00:15, FP_DM_PRIOR, 12.1, 18, 4592.2, 1.8, 0, 0, 37, 872, 952, 3696, 4.1, 797.1, 9932.1
1, 130143, 13/01/2019 01:20:14, FP_DM_PRIOR, 9.1, 13.7, 4193.2, 1, 0, 0, 10, 129, 170, 1373, 3.6, 342.2, 9542
1, 130144, 13/01/2019 01:40:09, FP_DM_PRIOR, 11.4, 17.1, 4577.6, 2.3, 0, 0, 1, 16, 25, 2230, 3.4, 377.1, 10851.6
1, 130145, 13/01/2019 02:00:09, FP_DM_PRIOR, 15, 27.5, 6613.6, 7.3, 0, 0, 8, 192, 424, 14012, 5.2, 706.9, 9537.6
