HOST, TIME, SNAP_ID, SYS_CPU, SYS_DBTIME, SYS_SYSPCT, SYS_READ, SYS_WRITE, SYS_REDO, SYS_OSWAIT, SYS_RMWAIT, SYS_ACTSESS_MAX, SYS_ACTSESS_AVG, SYS_PGA, SYS_PXRUNS, SYS_PXQCT, SYS_PXSRVT, SYS_UCALLS, SYS_IOWAIT
1, 31/12/2018 23:59:36, 129275, 27, 29.1, 9.2, 537.4, 133.3, 28.1, 0.8, 0, 101.6, 74.6, 11856, 236.7, 4.2, 104.3, 141.7, 11
1, 01/01/2019 00:19:36, 129276, 44, 63.8, 12.3, 7782.2, 295.7, 39.4, 1.2, 13.9, 314.4, 163.3, 37889.3, 283.6, 10.4, 182.4, 143.1, 13.7
1, 01/01/2019 00:39:36, 129277, 62.6, 94.3, 15.1, 12716.6, 320.5, 40.3, 3.7, 30.1, 285.9, 241.3, 47586, 301.9, 20.6, 319, 141.5, 9.4
1, 01/01/2019 00:59:36, 129278, 63.3, 81.8, 14, 6926.7, 389.3, 24.2, 1.5, 15.6, 262, 209.5, 60017.1, 857.3, 19.2, 302.8, 116.4, 7.9
1, 01/01/2019 01:19:36, 129279, 56.2, 74.8, 12.9, 2278.5, 282, 20.9, 0.9, 18.3, 222.1, 191.5, 74477.8, 608.8, 16.9, 250, 128.1, 9.8
1, 01/01/2019 01:39:36, 129280, 44.6, 88, 10.3, 1625.2, 281.4, 13.6, 0.8, 3.6, 351.3, 225.4, 39976.4, 742.9, 14.6, 214.2, 82.9, 13.7
1, 01/01/2019 01:59:36, 129281, 53, 68.6, 13.2, 7152.9, 325.1, 30.8, 1, 0.5, 212.2, 175.7, 38427.4, 835.3, 11.3, 157.5, 134.3, 14.3
1, 01/01/2019 02:19:35, 129282, 67, 85.1, 15.9, 6097.1, 234.3, 24.1, 1.2, 1.7, 277.2, 217.9, 55107.4, 661.1, 15, 237.4, 121.6, 20.7
1, 01/01/2019 02:39:36, 129283, 84.3, 93.8, 15.8, 6039, 111.9, 11.4, 2.1, 3.4, 276.3, 240.2, 68187.6, 317.7, 20.3, 368, 60.7, 9.9
1, 01/01/2019 02:59:35, 129284, 71.3, 83.7, 12.6, 4173.9, 170.3, 14.9, 1.6, 7.7, 247, 214.3, 61994.8, 203.8, 18.6, 373.9, 69.1, 9.8
1, 01/01/2019 03:19:35, 129285, 39.3, 88.8, 8.5, 2294.7, 117.2, 19.8, 2.3, 3.8, 279.4, 227.4, 56858.5, 172.7, 19.8, 368.4, 98.8, 47.9
1, 01/01/2019 03:39:36, 129286, 41.5, 69.8, 10, 3675.9, 168, 22.1, 0.8, 5, 285.8, 178.6, 50793, 363.5, 17, 298.1, 91.4, 10
1, 01/01/2019 03:59:35, 129287, 35.5, 43.9, 8.1, 2367.6, 464.9, 15.3, 0.7, 1.2, 191.7, 112.4, 91506.3, 173.1, 12, 179.2, 99.4, 6.8
1, 01/01/2019 04:20:35, 129288, 49, 45.2, 10, 1736.1, 744, 17.4, 0.7, 0.4, 192.3, 115.6, 74786.9, 190.4, 7.5, 120.8, 93.3, 3.5
1, 01/01/2019 04:39:36, 129289, 45.9, 55.1, 10.4, 2260.1, 322.4, 20.3, 0.8, 4.7, 209.1, 141.1, 44965.8, 258.6, 8.7, 158.5, 104.1, 5.2
1, 01/01/2019 04:59:35, 129290, 33, 35.9, 7.6, 579.1, 174.7, 23.7, 0.6, 0, 131.8, 91.8, 12221.9, 159, 4.7, 97.5, 125.5, 5.1
1, 01/01/2019 05:19:35, 129291, 27.3, 31.8, 7.7, 2077.6, 159, 25.4, 0.7, 1.3, 128.5, 81.3, 10789.3, 314.8, 4, 56.5, 113.8, 3.1
1, 01/01/2019 05:39:34, 129292, 24.8, 32.2, 7.4, 597, 225.2, 26, 0.6, 0.1, 134.3, 82.4, 27684.8, 233.6, 2.6, 35.5, 108.9, 3.5
1, 01/01/2019 05:59:35, 129293, 53.9, 71.1, 13.9, 2120.3, 470.7, 26.5, 1, 0.3, 218.2, 181.9, 51146.3, 191.6, 7, 176.7, 90.9, 10.2
1, 01/01/2019 06:19:34, 129294, 38.9, 51.4, 9.9, 1030.5, 411.7, 16.5, 0.8, 0.1, 201.8, 131.6, 39850.9, 168.2, 5.1, 106.6, 82.3, 7.6
1, 01/01/2019 06:39:35, 129295, 26.1, 36, 6.9, 1125.6, 348.8, 19.2, 0.6, 0, 145.4, 92.3, 39152.4, 261.5, 3.6, 68.9, 93.2, 4.6
1, 01/01/2019 07:00:34, 129296, 38.8, 49.8, 10.4, 505.8, 409, 38.1, 0.9, 0, 171.2, 127.5, 38140.3, 179.3, 2.2, 39.1, 112.4, 5.6
1, 01/01/2019 07:20:35, 129297, 33.1, 41.4, 8.4, 521.4, 194.7, 34.5, 0.7, 0, 166.9, 105.9, 21222.5, 244.1, 2.4, 42.7, 106.7, 4.1
1, 01/01/2019 07:40:34, 129298, 24.9, 26.7, 7.3, 707.3, 202.1, 30.9, 0.6, 0, 97.9, 68.4, 16392.3, 211.1, 2.8, 43.9, 115.7, 2.8
1, 01/01/2019 07:59:35, 129299, 18.1, 23.3, 5, 771.7, 135, 14.3, 0.5, 0, 99.5, 59.8, 11776.7, 175.9, 3.7, 51.1, 101.1, 3
1, 01/01/2019 08:19:34, 129300, 20.4, 25.5, 6.3, 17742.1, 103.7, 15.7, 0.5, 0.1, 115.1, 65.4, 10883.3, 283, 3.3, 50.4, 100.1, 3.4
