HOST, SNAP_ID, TIME, SYS_CPU, SYS_DBTIME, SYS_SYSPCT, SYS_READ, SYS_WRITE, SYS_REDO, SYS_OSWAIT, SYS_RMWAIT, SYS_ACTSESS_MAX, SYS_ACTSESS_AVG, SYS_PGA, SYS_PXRUNS, SYS_PXQCT, SYS_PXSRVT, SYS_UCALLS, SYS_IOWAIT
1, 125427, 05/11/2018 00:00:18, 20.7, 24.4, 5.9, 661.9, 185.7, 32, 0.5, 0, 116.1, 62.4, 14987.5, 245.4, 4.4, 70.1, 140.1, 5.3
1, 125428, 05/11/2018 00:20:18, 12.7, 30.5, 3.7, 210.9, 165.4, 19.9, 0.4, 0, 151.7, 78.1, 10872.9, 178.3, 3.1, 37.9, 79.7, 6.2
1, 125429, 05/11/2018 00:40:18, 15.2, 16.7, 4.8, 203.4, 133.8, 25.8, 0.5, 0, 87, 42.7, 9601.9, 202.8, 1.6, 9.6, 124, 2.2
1, 125430, 05/11/2018 01:00:18, 22.3, 29, 6.3, 4365.7, 169.3, 36, 0.6, 0, 150.9, 74.3, 9693, 856.5, 3.8, 42.8, 124.4, 2.8
1, 125431, 05/11/2018 01:19:18, 10.2, 10.7, 3.7, 174.7, 96.8, 21.1, 0.4, 0, 51.3, 27.3, 9711, 670.7, 2.1, 17.2, 78.2, 2.1
1, 125432, 05/11/2018 01:39:18, 10.9, 11.9, 3.5, 909.7, 104.6, 11.4, 0.3, 0, 52.3, 30.5, 11643, 769.8, 3.9, 50, 43.9, 1.7
1, 125433, 05/11/2018 01:59:18, 9.1, 11.5, 2.7, 5571.6, 132.1, 21.7, 0.3, 0, 92.1, 29.4, 10474.7, 883.4, 2.3, 22.7, 46.8, 1.2
1, 125434, 05/11/2018 02:19:18, 20, 18, 3.9, 5443.3, 78.3, 10.3, 0.3, 0.1, 121.8, 46.1, 20757.3, 243.9, 5.4, 70.5, 40.8, 1.1
1, 125435, 05/11/2018 02:39:17, 54.6, 53.1, 8.3, 6490.2, 94.9, 9.6, 0.6, 0.8, 179.4, 136, 34211.9, 232.8, 11.4, 206.9, 44.8, 3
1, 125436, 05/11/2018 03:00:17, 14.6, 17, 3.5, 3018, 130.6, 8.8, 0.3, 0, 115.3, 43.6, 18721.5, 246.4, 7.5, 130.9, 48.8, 2.8
1, 125437, 05/11/2018 03:20:17, 8.5, 8.7, 3, 210.9, 84.4, 13.1, 0.3, 0, 74.8, 22.3, 9300.4, 207.5, 1.5, 8.3, 70.5, 1.8
1, 125438, 05/11/2018 03:39:17, 12.1, 19.2, 4.2, 25, 119.8, 21.5, 0.4, 0, 80.7, 49.2, 9284.6, 174.1, 1.1, 1.2, 102.2, 10
1, 125439, 05/11/2018 04:00:18, 23.6, 27.8, 6.1, 836.4, 360.3, 22.3, 0.5, 0, 142.4, 71.3, 40881.1, 229.5, 3.3, 51.5, 104.4, 2.3
1, 125440, 05/11/2018 04:20:17, 22.9, 31.2, 5.6, 514.3, 355.3, 18.4, 0.5, 0, 143.9, 79.7, 39725, 238.3, 3.1, 34.9, 90.5, 1.7
1, 125441, 05/11/2018 04:40:17, 16.4, 20.6, 5.1, 387.6, 153, 21.4, 0.5, 0, 104.4, 52.9, 9372, 206.9, 2.7, 26.5, 102, 1.7
1, 125442, 05/11/2018 04:59:17, 14.4, 23.9, 4.8, 300.8, 139.6, 23.6, 0.5, 0, 153.2, 61.3, 9279.1, 237.1, 1.5, 16.3, 89.5, 1.9
1, 125443, 05/11/2018 05:19:17, 17.5, 18.3, 5.8, 39.7, 199.8, 35.8, 0.5, 0, 96.8, 46.7, 9331.8, 187.8, 1.1, 1.8, 100.7, 2.1
