HOST, TIME, SNAP_ID, SYS_CPU, SYS_DBTIME, SYS_SYSPCT, SYS_READ, SYS_WRITE, SYS_REDO, SYS_OSWAIT, SYS_RMWAIT, SYS_ACTSESS_MAX, SYS_ACTSESS_AVG, SYS_PGA, SYS_PXRUNS, SYS_PXQCT, SYS_PXSRVT, SYS_UCALLS, SYS_IOWAIT
1, 17/12/2018 10:02:50, 128341, 35.2, 56.7, 10.3, 5552.4, 364.8, 63.3, 0.9, 0, 318.1, 145.1, 17695.6, 270.3, 2.9, 56, 160.6, 5.2
1, 17/12/2018 13:31:50, 128342, 39, 46.8, 11, 732.2, 469.1, 60.7, 0.9, 0.2, 332.3, 119.9, 13140.8, 152.1, 4.4, 89.4, 143.6, 7.2
1, 18/12/2018 08:30:46, 128343, 55.7, 103.8, 13.9, 11518.5, 497, 64.5, 1.8, 2.5, 376, 265.7, 34520.7, 141, 6.1, 166.7, 100.8, 10.9
2, 17/12/2018 10:03:05, 128341, 43.6, 64.8, 12, 1194.2, 433.3, 62.9, 0.9, 0, 321.4, 165.8, 14915.3, 571.7, 7.1, 115.5, 165.5, 7.7
2, 17/12/2018 13:32:04, 128342, 40.2, 58.3, 12, 962.1, 376, 75.3, 1, 0, 372.2, 149.3, 15482.2, 435.7, 5.4, 92.8, 194.6, 7.6
2, 18/12/2018 08:31:00, 128343, 47, 99.5, 12.6, 7032.7, 342.6, 60.8, 1.5, 2.6, 427.9, 254.8, 74853, 331.3, 11.2, 362.6, 140.8, 8.2
4, 17/12/2018 10:03:09, 128341, 67.3, 85.9, 12.6, 24186.2, 501.3, 24.8, 3, 3.9, 347.3, 220, 88027.9, 1011.6, 36.3, 1002.8, 14.3, 7.4
4, 17/12/2018 13:32:12, 128342, 55.8, 51, 9.7, 10155.5, 295.4, 16.5, 1.3, 1.7, 327.9, 130.6, 52434.5, 1047.6, 24.2, 639.5, 16, 6.1
