HOST, TIME, SNAP_ID, SYS_CPU, SYS_DBTIME, SYS_SYSPCT, SYS_READ, SYS_WRITE, SYS_REDO, SYS_OSWAIT, SYS_RMWAIT, SYS_ACTSESS_MAX, SYS_ACTSESS_AVG, SYS_PGA, SYS_PXRUNS, SYS_PXQCT, SYS_PXSRVT, SYS_UCALLS, SYS_IOWAIT
1, 30/12/2018 23:59:41, 129203, 51.4, 56.3, 12.3, 2057, 769.7, 30.3, 1, 9.7, 226.4, 144.2, 48466.1, 314.7, 7.7, 175.2, 113.9, 9.6
1, 31/12/2018 00:19:41, 129204, 45.1, 69.3, 10.4, 7846.1, 632.4, 37.4, 1.5, 12.6, 377.7, 177.4, 50585.3, 266.7, 10, 151.3, 109.5, 14.1
1, 31/12/2018 00:40:42, 129205, 58.5, 101.9, 12.5, 16420.3, 671.9, 43.1, 2.7, 33.1, 377.9, 260.8, 35677.3, 238.6, 19.9, 258.6, 127, 12.3
1, 31/12/2018 01:00:41, 129206, 61.4, 102.3, 14.9, 5739.3, 546.7, 29.1, 1.1, 17, 370.2, 262, 37447.9, 930.6, 25.8, 377.5, 100.9, 21
1, 31/12/2018 01:19:41, 129207, 56.2, 99, 13.3, 2482.7, 619.6, 36.4, 1.5, 16.2, 313.1, 253.5, 29470.8, 595.2, 22.4, 277.6, 97.1, 24.6
1, 31/12/2018 01:39:41, 129208, 56.8, 78.7, 12.8, 1477.3, 657.2, 39.1, 0.9, 18.7, 227.7, 201.5, 24950.9, 722.3, 20.2, 241.6, 107.3, 10.7
1, 31/12/2018 01:59:41, 129209, 53.9, 72.2, 12.4, 6479.8, 639.4, 51.2, 0.9, 16.7, 214.1, 184.8, 24040.2, 660, 16.9, 191.2, 117.6, 10.3
1, 31/12/2018 02:19:40, 129210, 65.1, 78.5, 14.2, 6340.6, 558.6, 40.3, 2.7, 11.5, 286.2, 201, 36448.5, 942.4, 20.1, 258.5, 97.5, 8.9
1, 31/12/2018 02:39:41, 129211, 97.2, 122.5, 20.9, 4095.9, 439.1, 37.7, 19.3, 11.7, 341.8, 313.6, 60727.3, 355.7, 25.2, 381.8, 109.1, 16.8
1, 31/12/2018 02:59:40, 129212, 88.3, 109, 19.2, 3117.1, 561.9, 38.6, 7.5, 5.7, 299.6, 279, 57717.3, 168.1, 20.3, 323.6, 109.3, 17.9
1, 31/12/2018 03:19:40, 129213, 76.2, 95.3, 17.2, 3799.5, 644.7, 41.8, 4.5, 2.9, 333.1, 243.9, 47573.2, 271.9, 20.8, 331.6, 100.6, 21.5
1, 31/12/2018 03:39:41, 129214, 55.4, 103.8, 12.5, 2961.3, 625.5, 35.8, 3.6, 1.7, 381.5, 265.7, 59116.2, 373.1, 26.9, 461, 78.5, 40.8
1, 31/12/2018 03:59:40, 129215, 66.7, 83.9, 16.2, 1531.3, 620.7, 35.8, 1.2, 0, 290.2, 214.9, 82233.1, 4673.5, 16, 238.4, 104.9, 19.9
1, 31/12/2018 04:19:40, 129216, 63, 67.6, 15.3, 916.5, 780.7, 39, 1.2, 0, 197.4, 173, 80385.4, 5151.7, 9.1, 135.8, 113, 19
1, 31/12/2018 04:39:41, 129217, 55, 65.5, 14.2, 357.9, 748, 42.3, 1.1, 0, 272.6, 167.6, 67931.4, 5022.7, 6.7, 102.7, 138.7, 9.8
1, 31/12/2018 04:59:41, 129218, 50.6, 62.7, 12.4, 2510.2, 737, 37.3, 1, 2, 295, 160.4, 63099.9, 1667.2, 9.3, 189.7, 107.5, 7.1
1, 31/12/2018 05:19:40, 129219, 52.7, 54.1, 14.2, 445.4, 646, 45.1, 1.1, 0, 235.5, 138.6, 23935.6, 6685.4, 7.3, 108.9, 132.6, 6.9
1, 31/12/2018 05:39:40, 129220, 54.5, 51.7, 15.1, 1293.8, 656.5, 45.6, 1.2, 0.6, 215.8, 132.4, 25875.5, 305.1, 8.5, 132.5, 141.4, 7.5
1, 31/12/2018 05:59:40, 129221, 63.8, 76, 15.9, 1810.7, 649.8, 40.3, 1.2, 0, 287.2, 194.5, 34902.5, 163.9, 6, 162.2, 116.9, 9.2
1, 31/12/2018 06:19:40, 129222, 47.1, 57, 12.5, 348.5, 718.8, 47.1, 1, 0, 240.1, 145.9, 21789.2, 200.5, 3.2, 65.7, 140, 4.3
1, 31/12/2018 06:39:39, 129223, 49.2, 51.5, 13.1, 99.4, 688.9, 48.9, 1, 0, 201.4, 131.8, 21596.8, 258.1, 2.2, 37.5, 147.2, 5.1
1, 31/12/2018 06:59:40, 129224, 59.7, 68.3, 15.6, 1843.4, 651.1, 48.2, 1.2, 1.6, 257.6, 174.8, 23151.7, 301.4, 5.3, 111.8, 137.3, 7.3
1, 31/12/2018 07:19:39, 129225, 57, 69.8, 14, 659.4, 695.9, 50.7, 1, 0, 230.4, 178.7, 22699.4, 224.2, 4.7, 83.6, 114.3, 5.9
1, 31/12/2018 07:39:40, 129226, 56.9, 63.7, 14, 195.7, 700.9, 54.5, 1.1, 0, 290.1, 163, 21863.4, 265.5, 3.4, 58.7, 120.7, 5.3
