HOST, TIME, SNAP_ID, SYS_CPU, SYS_DBTIME, SYS_SYSPCT, SYS_READ, SYS_WRITE, SYS_REDO, SYS_OSWAIT, SYS_RMWAIT, SYS_ACTSESS_MAX, SYS_ACTSESS_AVG, SYS_PGA, SYS_PXRUNS, SYS_PXQCT, SYS_PXSRVT, SYS_UCALLS, SYS_IOWAIT
1, 02/01/2019 23:59:26, 129419, 33.9, 33.6, 9, 1631.9, 413.2, 55, 0.7, 0.3, 120.7, 86, 38812, 294.4, 5.4, 126.7, 82.1, 7
1, 03/01/2019 00:19:26, 129420, 30.9, 42.8, 7.2, 4492, 293.1, 37.4, 0.6, 7.4, 219, 109.5, 63574, 226.6, 9.8, 177.6, 72.7, 7.7
1, 03/01/2019 00:39:26, 129421, 32.5, 64.2, 6.1, 15168.3, 200.2, 23.7, 0.5, 27.6, 247.1, 164.5, 61533.2, 282.3, 16.8, 224.5, 60.5, 3.2
1, 03/01/2019 00:59:26, 129422, 45.8, 67.2, 9.3, 6185.6, 194.3, 23.4, 0.7, 20.6, 210.2, 172.1, 66925, 943.2, 20.3, 277.8, 59.3, 5.3
1, 03/01/2019 01:20:26, 129423, 37.3, 59.3, 7.5, 1723.3, 189.2, 23.5, 0.6, 16.5, 176.4, 151.7, 62565.4, 751.1, 18.6, 238.3, 61.2, 7.4
1, 03/01/2019 01:39:25, 129424, 19.7, 61.8, 4.4, 1010.5, 117, 22.3, 0.4, 4.9, 229.5, 158.2, 42532.5, 684.5, 12.8, 167.9, 36.8, 3.8
1, 03/01/2019 01:59:26, 129425, 36.7, 41.9, 7.7, 7525.4, 325.1, 36.6, 0.6, 5.7, 120.7, 107.3, 51258.3, 760.8, 12.1, 176.1, 70.4, 2.4
1, 03/01/2019 02:19:25, 129426, 52.6, 60.8, 10.1, 7295.7, 220.7, 22.2, 0.7, 9.3, 214.1, 155.7, 68189.2, 655.4, 17.2, 268.6, 57.4, 4.2
1, 03/01/2019 02:39:25, 129427, 73.2, 89.7, 12.1, 5665.6, 240.8, 8.8, 1.7, 4.6, 254.2, 229.5, 57709.3, 285.3, 19.7, 337.5, 31.1, 11.6
1, 03/01/2019 02:59:25, 129428, 68, 86.5, 11, 5108, 307.2, 14.7, 3.8, 9.7, 256.8, 221.4, 51649.7, 194.6, 20.4, 360, 62.7, 11.6
1, 03/01/2019 03:19:26, 129429, 41.6, 46.6, 8.6, 3583.7, 390.3, 23, 0.7, 5.6, 197.5, 119.3, 68830.8, 346.5, 13.9, 197, 109.9, 3.8
1, 03/01/2019 03:40:25, 129430, 21.5, 31.8, 5.3, 423.2, 427.1, 24.4, 0.5, 0, 103.2, 81.3, 69107.8, 205.1, 9.8, 127, 83.4, 15.4
1, 03/01/2019 03:59:26, 129431, 36.5, 35.5, 8.5, 1135, 709.5, 28.3, 0.7, 2.7, 133.1, 90.8, 75055.1, 152.7, 9.1, 132, 110.1, 4.2
1, 03/01/2019 04:19:25, 129432, 40, 46.6, 8.6, 874.6, 440.3, 18.3, 0.6, 5.5, 154.3, 119.4, 71767, 205.7, 9.4, 169.7, 88.9, 3.3
1, 03/01/2019 04:40:25, 129433, 35.7, 42.4, 7.2, 720.8, 248, 20.3, 0.6, 3.6, 130.6, 108.7, 45723.3, 164.4, 8.1, 143.2, 91.8, 3.3
1, 03/01/2019 04:59:25, 129434, 33.1, 45.4, 6.9, 1087.9, 271.7, 19.8, 0.6, 1.1, 199.8, 116.3, 18771.3, 174.6, 7.1, 138.3, 88.9, 5.9
1, 03/01/2019 05:19:25, 129435, 25.3, 29.1, 6.9, 521.6, 212.4, 21.4, 0.6, 0, 125.2, 74.5, 34247.2, 191.7, 4, 79.2, 91.1, 4.5
1, 03/01/2019 05:39:24, 129436, 24.3, 24.2, 6.6, 915.6, 166.2, 24.3, 0.6, 0.6, 99.9, 62, 37128.1, 287.5, 3.6, 68.2, 104.9, 4.3
1, 03/01/2019 05:59:24, 129437, 26, 34.3, 7.3, 1128.5, 209.8, 28.1, 0.6, 0, 146.5, 87.9, 11484.4, 194.9, 4, 102.8, 104.6, 5.2
1, 03/01/2019 06:19:24, 129438, 27.5, 28, 7.1, 783.7, 324.4, 47.6, 0.6, 0, 100.5, 71.7, 12618.8, 216.4, 3.5, 67.1, 120.1, 3.3
1, 03/01/2019 06:39:25, 129439, 22.9, 31.5, 6.5, 1896.4, 222.7, 42.6, 0.6, 0.1, 166.3, 80.6, 10112.8, 350, 3.8, 46.1, 107.3, 2.7
1, 03/01/2019 07:00:25, 129440, 15.5, 24.9, 5.3, 40.3, 193.8, 36.7, 0.5, 0, 134.6, 63.8, 10503.8, 186.4, 2.1, 7.1, 110.4, 2.7
1, 03/01/2019 07:19:24, 129441, 13.9, 15, 5.2, 60.6, 149, 27.5, 0.5, 0, 57.7, 38.5, 10133.5, 188.9, 2.5, 13.7, 122.5, 2.5
1, 03/01/2019 07:39:24, 129442, 15.4, 16, 5.2, 491.5, 162.6, 26.7, 0.5, 0, 74.7, 41.1, 16719.1, 275.1, 2.8, 31.4, 113.4, 1.9
1, 03/01/2019 07:59:24, 129443, 19.8, 28.2, 5.8, 1080.9, 201.3, 24, 0.5, 0, 129.1, 72.2, 12111.7, 190.1, 4.8, 73.6, 90, 4.6
1, 03/01/2019 08:19:24, 129444, 14.2, 19.4, 4.3, 1395.9, 163.1, 24.4, 0.4, 0.2, 118.7, 49.7, 13662.4, 320.8, 2.3, 33, 93.3, 1.4
1, 03/01/2019 08:40:25, 129445, 11.6, 30.8, 4, 254.2, 132.9, 26.8, 0.4, 0, 231, 78.8, 10077.8, 212.5, 1.7, 17.4, 87.4, 1.3
1, 03/01/2019 09:01:24, 129446, 12.5, 16.3, 3.3, 36445.2, 129.7, 29.3, 0.3, 0.4, 119.3, 41.8, 11049, 214.8, 2.2, 32.8, 45.3, 2.2
1, 03/01/2019 09:19:24, 129447, 10.8, 16, 2.7, 1117.4, 86, 11.9, 0.3, 0, 138.8, 40.8, 10008.9, 276.8, 2.4, 43.2, 19.1, 1.4
1, 03/01/2019 09:40:24, 129448, 8.3, 8.6, 2.5, 1397.3, 85.5, 9, 0.2, 0, 61.7, 22.1, 13372.7, 259.6, 1.9, 20.2, 22.7, 1.4
1, 03/01/2019 09:59:24, 129449, 8, 8.3, 2.7, 842.8, 68.5, 10.3, 0.3, 0, 70.3, 21.2, 9989.2, 192, 2, 25.6, 18.6, 2.3
1, 03/01/2019 10:19:24, 129450, 8.7, 7.8, 2.6, 819.9, 73.2, 8.7, 0.2, 0, 61.6, 20, 11196.9, 237.2, 2.2, 25.1, 18.7, 1.1
1, 03/01/2019 10:39:24, 129451, 8.1, 6.8, 2.4, 1463, 134.6, 8.7, 0.2, 0, 28.9, 17.4, 10069.7, 246.3, 2.1, 25.8, 18.2, 1
1, 03/01/2019 10:59:23, 129452, 10.5, 16.5, 3.3, 1746.1, 5296.8, 9.5, 0.3, 0, 112.8, 42.3, 14042.1, 267, 3.4, 68, 19.6, 7.4
